ID	X20_vs_X5_ratio	X20_vs_X5_p.adj
A2M	-4.27	0.000464
AAMP	-2.13	0.00246
AARS1	-1.42	0.00492
ABCD3	-1.84	0.014
ACACA	-2.91	0.00497
ACADVL	-1.8	0.00386
ACLY	-2.8	0.000344
ACOT7	-1.45	0.00811
ACP1	-3.58	0.00216
ACTA2	-1.01	0.0303
ACTB	-1.41	0.0212
ACTBL2	-1.73	0.0186
ACTR1A	-1.11	0.0176
ACY1	-4.41	0.000531
ADA	-2.25	0.00213
ADAMTS13	-4.62	0.000338
ADH5	-2.95	0.00119
ADRM1	-1.88	0.00299
ADSS2	-1.33	0.0141
AFAP1	-3.46	0.000866
AFP	-4.61	0.000289
AHCY	-1.63	0.00578
AHSA1	-1.84	0.00535
AHSG	-4.41	0.000478
AIDA	-1.47	0.00776
AIP	-1.4	0.00893
AK1	-1.03	0.0132
AKR1A1	-1.89	0.00262
AKR1B1	-1.73	0.00385
AKR1B10	-1.58	0.00869
AKR1C1	-2.42	0.00168
AKR7A2	-1.41	0.00833
ALAD	-4.54	0.0159
ALB	-3.93	0.000462
ALDH1L1	-3.39	0.000992
ALDOA	-1.49	0.00426
ALDOB	-6.82	0.00139
ALDOC	-2.08	0.00115
AMY1A	-4.28	0.0237
ANP32E	-1.35	0.0209
ANXA1	-1.77	0.00254
ANXA4	-1.59	0.0118
ANXA5	-1.65	0.00706
ANXA7	-1.59	0.0158
ANXA8L1	-1.89	0.0222
APCS	-3.98	0.00153
APOA1	-3.09	0.000437
APOB	-1.82	0.00842
APOC3	-4.05	0.00416
APOH	-3.18	0.0354
APP	-3.12	0.00192
APRT	-1.68	0.00219
ARHGDIA	-1.24	0.00593
ARHGEF7	-1.13	0.037
ARPC1B	-1.02	0.045
ASPH	-1.79	0.0213
ATG3	-1.81	0.00965
ATP5F1A	-2.35	0.00168
BABAM2	-1.76	0.00343
BANF1	-1.89	0.0422
BDH2	-1.5	0.00335
BHMT	-6.4	0.00112
BIN1	-4.44	0.000517
BLVRA	-2.16	0.00361
BOLA2	-1.41	0.0183
BPNT1	-1.57	0.00937
C11orf68	-2.01	0.0024
C12orf57	-2.82	0.0261
C1orf198	-2.87	0.00678
C1QTNF3	-5.26	0.00123
C3	-4.87	0.000555
C4A	-2.47	0.00155
C5	-4.6	0.00052
C9	-3.87	0.00175
CAB39	-1.07	0.0111
CACNA2D1	-2.08	0.0075
CAMK1	-1.28	0.024
CANX	-1.62	0.00753
CASP3	-1.17	0.0185
CBFB	-1.03	0.0458
CBR1	-1.15	0.0141
CD109	-5.2	0.00339
CD44	-1.04	0.0154
CDH2	-2.22	0.0112
CDK6	-3.17	0.00468
CHMP2A	-3.01	0.000577
CHMP4B	-1.32	0.0368
CIAO1	-5.26	0.0138
CIAO2A	-1.7	0.00219
CKB	-1.88	0.00491
CLEC3B	-4.02	0.000993
CLIC1	-1.64	0.00653
CLIC4	-1.19	0.00852
CLINT1	-1.32	0.00491
CLIP2	-2.19	0.00119
CMPK1	-1.05	0.013
CNTN1	-2.23	0.00903
COL18A1	-4.6	0.000756
COL1A2	-1.87	0.0156
COL2A1	-2.71	0.00822
COL3A1	-2.57	0.00794
COL6A1	-3.66	0.00492
COL6A2	-3.53	0.0159
COL6A3	-1.65	0.00753
COMP	-5.65	0.000739
COPS3	-1.14	0.0126
COPS4	-1.16	0.0114
COPS5	-1.96	0.00385
COPS6	-1.35	0.00648
COTL1	-2.57	0.00809
CP	-5.77	0.00868
CPD	-2.58	0.00212
CPSF6	-6.02	0.000259
CRKL	-1.1	0.047
CRYM	-2.36	0.00119
CTNNB1	-1.51	0.00822
CTSD	-1.43	0.0289
CUTA	-1.71	0.0147
CYRIB	-1.08	0.024
DAG1	-5.01	0.0316
DBNL	-3.23	0.00281
DCD	-2.86	0.00985
DCTN3	-1.39	0.0316
DDAH1	-1.96	0.00376
DDAH2	-2.05	0.024
DDT	-3.62	0.0119
DDX17	-4.03	0.00109
DDX39B	-3.19	0.00278
DHX15	-4.93	0.000188
DIP2B	-2.3	0.00119
DLGAP4	-2.01	0.00379
DNAJA1	-2.38	0.00395
DNAJC13	-3.5	0.000355
DPY30	-1.57	0.0154
DRG2	-1.55	0.00882
DSG1	-3.29	0.0419
DSTN	-1.55	0.0187
DYNC1I2	-2.13	0.00112
EEF1B2	-1.32	0.0223
EFEMP1	-6.92	0.00407
EFHD2	-1.33	0.0264
EFTUD2	-2.14	0.000826
EHD3	-1.8	0.026
EIF2S1	-1.01	0.0438
EIF3I	-1.05	0.0341
EIF4A1	-1.28	0.00853
EIF4B	-2.24	0.00613
ENO1	-1.28	0.0245
ENPP2	-5.38	0.000225
ESD	-1.32	0.0183
EXOC4	-4.45	0.00411
F10	-3.05	0.0032
F2	-4.23	0.000442
F5	-1.67	0.00669
FABP3	-1.5	0.0293
FABP4	-2.69	0.0245
FABP5	-1.8	0.0306
FAH	-1.53	0.0029
FBLN1	-3.56	0.000395
FBN1	-2.58	0.001
FGB	-4.16	0.00137
FGG	-4.77	0.00187
FHL3	-1.72	0.00271
FILIP1L	-8.3	0.000136
FKBP1A	-1.4	0.042
FLG2	-3.96	0.00137
FLNB	-2.67	0.000798
GALE	-1.54	0.00971
GALK2	-1.81	0.00179
GART	-1.48	0.0097
GC	-3.37	0.00168
GDI1	-3.22	0.000664
GET4	-1.05	0.0286
GGCT	-2.44	0.00408
GLO1	-1.4	0.00664
GLOD4	-2.09	0.00394
GLRX3	-1.07	0.0282
GMDS	-1.91	0.00451
GMPPA	-1.39	0.0449
GMPPB	-1.22	0.00583
GNA13	-3.8	0.0176
GNPDA1	-1.36	0.0183
GOT1	-1.93	0.00396
GSN	-2.31	0.001
GSTA5	-1.12	0.0224
GSTM1	-1.23	0.0279
GSTO1	-1.78	0.00449
GSTP1	-1.33	0.00868
HAGH	-1.78	0.00776
HBA1	-5.13	0.00297
HBE1	-3.46	0.00887
HDGF	-1.21	0.015
HGFAC	-3.29	0.00104
HNRNPU	-2.83	0.00109
HOOK3	-1.9	0.00405
HPRT1	-1.32	0.00613
HSP90AB1	-1.44	0.00419
HSP90AB4P	-5.2	0.00645
HSPB1	-1.32	0.00633
HSPBP1	-2.19	0.0269
HSPG2	-2.93	0.00052
HUWE1	-1.4	0.00852
IDE	-1.23	0.0142
IDH1	-1.65	0.00184
IGF2	-4.73	0.002
IGF2R	-4.34	0.000349
IGFBP2	-4.5	0.00192
IGFBP7	-3.8	0.0308
IMPACT	-1.01	0.0133
IPO5	-1.08	0.0287
ITIH1	-4.86	0.000355
ITIH2	-4.86	0.000756
ITIH3	-4.27	0.000376
ITPR1	-4.06	0.00386
KANK2	-2.1	0.00106
KCTD12	-2.15	0.00783
KIF13B	-4.03	0.00207
KRT1	-2.24	0.0341
KRT10	-2.71	0.00219
KRT2	-2.39	0.00234
KRT4	-3.01	0.0229
KRT5	-2.37	0.0351
KTN1	-1.29	0.0163
LAMB1	-1.7	0.00224
LDHA	-1.14	0.00923
LDHB	-2.14	0.00183
LGALS1	-1.59	0.0339
LGALSL	-1.31	0.011
LRRC47	-2.11	0.0161
LTF	-4.18	0.000437
LUM	-4.38	0.000312
MAN2C1	-1.4	0.0134
MAP2K1	-1.04	0.015
MAP2K2	-1.1	0.0276
MAPK14	-1.23	0.027
MAPK3	-1.21	0.00966
MARCHF5	-3.17	0.00246
MARK2	-4.17	0.0195
MAT1A	-4.75	0.00103
MDH1	-2.03	0.00282
MEMO1	-1.28	0.0225
MIF	-1.67	0.0192
MST1	-3.97	0.0382
MTAP	-1.16	0.0109
MTPN	-1.62	0.0333
MYG1	-1.49	0.00483
MYO1E	-1.81	0.0015
NACA	-1.27	0.0249
NAGK	-1.86	0.00472
NANS	-1.36	0.00502
NEDD4	-1.3	0.00583
NEK9	-1.89	0.0015
NEO1	-4.17	0.00288
NEXN	-2.84	0.000776
NIBAN1	-1.15	0.013
NIT2	-1.56	0.0097
NME1	-1.43	0.00859
NME2	-1.41	0.00851
NNMT	-1.22	0.00757
NOL3	-1.58	0.00322
NOTCH2	-4.64	0.000415
NPC2	-1.21	0.0148
NQO1	-1.07	0.0107
NRDC	-1.39	0.0123
NRP1	-3.15	0.00589
NUDC	-1.66	0.00583
NUDT2	-1.01	0.0176
NUDT3	-1.12	0.0216
NUDT4	-2.88	0.000785
OGA	-1.6	0.00654
OPA1	-1.36	0.00525
OSTF1	-2.23	0.00776
OTUB1	-2.01	0.00396
PABPC1	-1.36	0.0271
PABPC4	-1.53	0.0268
PAFAH1B2	-1.05	0.0414
PAPSS2	-4.64	0.000315
PARK7	-1.42	0.00723
PCBD1	-3.43	0.00168
PCBP1	-1.28	0.00633
PCNA	-2.44	0.00287
PDCL3	-2.01	0.00484
PEA15	-2	0.0203
PEBP1	-1.27	0.0118
