ID	X20_vs_X5_ratio	X20_vs_X5_p.adj
ADRM1	-1.26	0.0201
ALDOC	-1.03	0.0493
ANKH	-1.27	0.0422
ANXA3	-1.22	0.0384
APCS	-7.18	0.00697
APMAP	-1.47	0.0145
ARHGAP17	-1.11	0.0204
ATIC	-1.11	0.0145
ATRN	-1.6	0.0485
AUH	-1.71	0.0384
BCAS3	-2.08	0.0227
BCL10	-1.69	0.0427
CAPRIN1	-1.08	0.0435
CDH2	-2.77	0.0289
CDV3	-1.14	0.0317
CHMP2A	-1.95	0.0176
CLINT1	-1.15	0.0251
COG4	-2.07	0.0162
CSTA	-2.7	0.0305
CUL4A	-1.71	0.0359
DCLK1	-1.86	0.0191
DCTN4	-1.03	0.0223
DDX5	-1.36	0.00965
DNAJC25	-1.16	0.0176
DRG1	-1.81	0.0258
DSG1	-2.84	0.0372
EHD4	-1.04	0.0256
EIF3B	-1.52	0.0289
FILIP1L	-3.67	0.0195
GAA	-1.46	0.0195
GALK2	-1.33	0.0204
HAGH	-1.33	0.0417
HDAC1	-3.51	0.0162
HGFAC	-1.4	0.0417
HMOX1	-1.06	0.0162
HSPB1	-1.06	0.0162
KIF2A	-1.14	0.0177
KRT80	-2.12	0.0388
LAMP1	-1.31	0.0242
LARP4B	-3.43	0.0435
LMOD1	-1.47	0.0125
LOX	-2.11	0.0111
LRRFIP2	-1.15	0.0188
ME2	-2.69	0.00669
MTA2	-2.22	0.0111
MYO1D	-1.48	0.0409
NEXN	-3.64	0.0491
NLN	-1.25	0.0162
NMT1	-1.04	0.0372
NUDT4	-1.42	0.0204
NUFIP2	-1.49	0.0415
OPA1	-1.26	0.0359
P2RX4	-2.86	0.0204
PDLIM4	-1.05	0.0361
PFKM	-2.31	0.0147
PHLDB1	-1.47	0.0312
PIP	-4.02	0.0266
PITPNB	-1.98	0.0372
PLBD2	-1.17	0.0465
PPM1F	-1.23	0.0392
PPP2R1B	-2.71	0.0415
PSMD3	-1.02	0.017
PTMA	-1.7	0.0279
PUF60	-4.06	0.0409
RAB4A	-1.46	0.0201
RABEP2	-2.28	0.0343
RARS1	-1.21	0.0101
RNF13	-1.69	0.00811
RPS7	-1.45	0.0225
RUVBL2	-1.3	0.0178
SEPTIN2	-1.04	0.0383
SEPTIN9	-1.36	0.0111
SLC12A4	-1.88	0.0227
SNX4	-1.75	0.0351
SNX7	-2.69	0.00697
SRPRA	-1.56	0.0314
SRPRB	-1.02	0.0204
STK25	-1.11	0.0204
TFG	-1.24	0.0131
TIMP3	-1.38	0.0198
TPM1	-1.31	0.0145
TPM2	-1.03	0.0305
UBE2G2	-1.3	0.0216
VPS45	-1.59	0.0415
VTA1	-1.32	0.0105
