ID	CS.10_vs_M.Ctr_ratio	CS.10_vs_M.Ctr_p.adj
WDR1	-1.15	0.0023
MYO1D	-2.43	0.000686
MAP1B	-1.3	0.00523
NCL	-1.11	0.00532
EIF3B	-2.94	0.0023
CTSD	-1.04	0.0111
PREP	-3.42	0.0021
PPP2R1B	-1.97	0.026
RRBP1	-1.04	0.0238
KRT78	-2.76	0.0267
STK25	-1.26	0.0396
STUB1	-1.2	0.0332
DSG1	-2.55	0.036
PTPN11	-1.07	0.0299
NAP1L4	-1.04	0.0339
GART	-1.56	0.0159
PTMA	-1.03	0.0169
GOLPH3	-2.11	0.00576
PCMT1	-1.05	0.0159
MTDH	-1.34	0.0216
BABAM2	-1.43	0.00782
KRT80	-2.34	0.0216
ENAH	-1.88	0.00446
GNA13	-3.17	0.0235
CDH2	-2.29	0.0318
ME2	-3.13	0.000617
DNAJB1	-3	0.00658
SLK	-1.27	0.00923
PUF60	-3.35	0.0385
PTPN12	-1.35	0.0397
NAPG	-1.48	0.0054
AFAP1	-1.99	0.00515
EPHA2	-1.17	0.0322
PACSIN2	-1.16	0.00827
BASP1	-2.82	0.0248
ACAA1	-1.69	0.00116
DCTN6	-1.05	0.0316
TIAL1	-1.82	0.00227
TIA1	-2.33	0.0423
EXOC6B	-1.27	0.0436
CRIP2	-1.18	0.00304
WDR26	-1.43	0.0144
COPS7B	-1.39	0.0365
RELA	-1.2	0.0247
AFG3L2	-1.7	0.0339
NAE1	-2.34	0.00106
BLOC1S4	-1.14	0.0279
FAM91A1	-2.24	0.0313
PPP1R12C	-1.25	0.0052
ATAD3B	-1.93	0.0216
MMS19	-2.15	0.0014
ARFGEF1	-2.51	0.00351
SLC9A3R1	-1.29	0.0248
TBC1D13	-1.94	0.00658
RIPK2	-1.01	0.0235
YTHDF3	-1.18	0.0246
PFKM	-1.79	0.0205
FILIP1L	-4.72	0.000596
UBE4A	-1.25	0.0182
HDAC1	-4.22	0.00584
TNPO3	-2.01	0.00197
CCDC93	-1.14	0.0406
FAM107B	-1.83	0.0339
SIL1	-1.43	0.0477
PRRX1	-2.76	0.00194
WASHC2C	-1.72	0.00828
SNX7	-2.27	0.00887
PRPF6	-1.91	0.0209
DYNC2H1	-1.33	0.012
LARP4B	-3.72	0.00332
NUP54	-2.15	0.0492
RANBP9	-2.69	0.018
SHOC2	-1.03	0.0216
ITGA6	-1.71	0.012
PRPF4	-1.93	0.0499
STRN4	-2.7	0.000596
SPTLC2	-1.57	0.0387
ZW10	-3.98	0.0205
RNF149	-2.52	0.00194
GPHN	-2.1	0.0054
MTA2	-1.22	0.0202
ITPRID2	-1.27	0.00332
SF3A3	-4.56	0.000596
ALDH4A1	-4.65	0.000263
VPS50	-1.45	0.0483
RABGEF1	-3.86	0.0021
