ID	CS.T2_vs_N.ctr_ratio	CS.T2_vs_N.ctr_p.adj
KRT1	-3.08	0.0334
KRT9	-3.24	0.0152
KRT2	-3.18	0.0322
KRT10	-2.95	0.0456
TPM2	-2.18	0.0236
TPM4	-2.99	0.0269
YWHAZ	-3.36	0.012
TPM3	-2.37	0.0389
CSRP1	-2.65	0.0443
ANXA5	-3.37	0.00918
YWHAE	-3.25	0.0132
YWHAG	-3.35	0.0123
PRDX1	-2.73	0.0288
KRT14	-2.26	0.0399
YWHAB	-2.83	0.034
KRT16	-2.49	0.0397
KRT6A	-2.79	0.035
KRT5	-3.44	0.0158
TPI1	-2.88	0.0217
YWHAQ	-3.13	0.0263
FHL1	-3.03	0.0247
YWHAH	-2.98	0.0198
UCHL1	-3.32	0.00925
CNBP	-2.59	0.02
RAN	-3.3	0.0284
PRDX4	-2.92	0.0288
TPT1	-2.66	0.027
ANXA4	-3.21	0.0115
HPRT1	-2.98	0.0242
PRDX6	-2.8	0.0437
CSRP2	-2.56	0.0269
CMPK1	-2.5	0.0437
PEBP1	-2.75	0.0214
SRSF2	-2.26	0.0243
PSPH	-2.98	0.0265
USP9Y	-3.37	0.0128
PARK7	-3.55	0.00772
RANBP1	-2.82	0.0332
MEMO1	-2.79	0.0231
HGFAC	-2.59	0.0243
NIT2	-2.95	0.0305
FHL3	-2.94	0.0128
EEF1B2	-3.16	0.0237
SBDS	-2.81	0.0329
VPS29	-2.14	0.0277
UCHL3	-2.55	0.0309
RAB43	-2.55	0.0318
PSMD9	-2.63	0.0386
DSP	-2.61	0.0225
GLOD4	-3.15	0.0214
HRNR	-7.55	0.00962
KRT78	-4.59	0.0128
PDAP1	-2.25	0.0338
EIF1B	-2.35	0.0305
GRB2	-3.06	0.0198
DSG1	-4.02	0.0158
CLINT1	-4.29	0.00768
GLO1	-3.57	0.00763
SUMO2	-2.09	0.034
KRAS	-3.66	0.0101
NUCB1	-2.12	0.0325
SLC12A4	-4.74	0.0071
PHLDB1	-3.85	0.00735
GSTA5	-3.02	0.0266
MOB1A	-3.18	0.0267
PTMA	-2.51	0.0216
FBLN2	-2.06	0.0305
HDGF	-1.92	0.0368
KRT80	-5.11	0.00562
VBP1	-1.77	0.0357
DTD1	-2.88	0.0115
HDHD2	-2.66	0.0221
LGALSL	-2.04	0.0437
HDGFL3	-3.15	0.0181
SPATA5	-3.13	0.0391
PMM1	-1.9	0.0368
HYI	-2.73	0.0406
PIR	-2.09	0.034
CASP3	-2.8	0.0288
CACYBP	-2.48	0.0305
PMM2	-2.4	0.0382
PTGR2	-2.86	0.0334
CALML5	-5.28	0.0184
C11orf68	-2.1	0.0298
HAGH	-3.96	0.00768
FLG2	-5.65	0.034
ECHDC1	-3.01	0.0405
ARFGEF1	-4.74	0.0146
FILIP1L	-2.2	0.0382
SNTB2	-2.58	0.035
RNF13	-3.49	0.0137
CHMP2A	-5.03	0.00735
GGCT	-5.09	0.00763
SYNE1	-1.88	0.042
SPTLC2	-1.98	0.037
C1QTNF3	-2.97	0.0249
BICD2	-2.89	0.036
NUDT4	-3.19	0.0132
ALDH4A1	-2.39	0.0382
RRP12	-2.31	0.0428
CSTA	-2.1	0.0467
