ID	T2DM_vs_X5_ratio	T2DM_vs_X5_p.adj
NME1	-2.22	0.0472
ARHGDIA	-2.25	0.0248
MYL6	-2.06	0.0239
AKR1B15	-5.45	0.00656
HNRNPA3	-3.37	0.0106
HNRNPAB	-5.74	0.00271
TIMM13	-2.42	0.0172
TMSB4X	-4.53	0.0112
HBA1	-6.66	0.00046
SLC25A4	-5.01	0.00807
ACTB	-2.26	0.0113
RPS8	-2.75	0.0301
SSR1	-4.05	0.00179
CSRP1	-2.38	0.00998
DSTN	-1.52	0.0478
PARVA	-3.51	0.0104
A2M	-3.06	0.0106
YBX1	-1.97	0.0317
ACTN1	-1.65	0.0391
HSP90AB1	-2.98	0.00998
F2	-5.85	0.000459
ACTR3	-3.38	0.00656
YWHAG	-1.79	0.0326
TUBA1A	-4.48	0.00046
AKR1A1	-2.25	0.0135
TAGLN	-2.22	0.0146
RRAS2	-3.93	0.0354
ITIH3	-2.46	0.0342
ALDH9A1	-5.26	0.000459
MLEC	-4.06	0.0402
HSPA8	-1.49	0.0433
CAT	-4.07	0.0205
ALB	-8.14	0.000459
RPS7	-1.73	0.0391
NACA	-2.45	0.047
TPM1	-5.26	0.000459
PLOD2	-5.01	0.00046
S100A4	-2.49	0.0104
ACTG1	-4.91	0.00134
CRYAB	-5.2	0.00046
ARL8B	-2.43	0.013
PSMB7	-1.58	0.0492
COL1A1	-2.76	0.0135
CLTB	-2.43	0.017
YBX3	-3.07	0.0106
TPM2	-2.47	0.0106
ENO2	-6.79	0.000459
DPYSL3	-2.78	0.0453
CNN3	-2.73	0.00998
S100A10	-1.94	0.0478
TPM3	-3.46	0.00998
AHSG	-8.91	0.00112
PTMA	-3.8	0.024
SRSF2	-4.4	0.00998
SPRR2D	-7.83	0.0193
GC	-6.41	0.00397
H2AZ2	-6.86	0.000459
