ID	T2DM_vs_X5_ratio	T2DM_vs_X5_p.adj
A2M	-2.58	0.0021
AAMP	-3.77	0.000196
AARS1	-1.22	0.00664
ABCA1	-3.38	0.0324
ABCD3	-2.25	0.00529
ABHD5	-1.87	0.0144
ACP1	-4.48	0.000644
ACTA2	-3.7	0.000182
ACTB	-2.48	0.00202
ACTBL2	-7.43	6.86e-05
ACTN1	-1.6	0.00585
ACTR10	-1.75	0.0156
ACTR1A	-1.68	0.00294
ACTR1B	-6.33	0.00287
ACTR2	-1.77	0.00252
ACTR3	-1.25	0.00529
ACY1	-1.86	0.00987
ADA	-4.07	0.000163
ADAMTS13	-3.15	0.000818
ADSS2	-1.67	0.00469
AFAP1	-7.33	4.84e-05
AFDN	-3.25	0.000811
AFP	-2.75	0.00105
AHSG	-3.34	0.000892
AKAP2	-1.08	0.0173
AKR1A1	-3.08	0.00028
AKR1B10	-9.36	2.03e-05
ALB	-3.85	0.00031
ALDH1L1	-8.57	3.77e-05
ALDH3A1	-9.73	2.03e-05
ALDH3A2	-3.48	0.0054
ALDOB	-2.97	0.0248
ANP32B	-2.15	0.00225
ANP32E	-3.99	0.000254
AP2S1	-1.17	0.0124
AP3S1	-1.42	0.00623
API5	-3.16	0.000175
APOA1	-1.85	0.00204
APOC3	-4.24	0.00259
APP	-2	0.00795
APPL1	-1.32	0.00581
ARF1	-2.19	0.00061
ARF5	-1.88	0.0159
ARG1	-2.63	0.0066
ARHGAP5	-2.13	0.00887
ARHGEF10L	-1.69	0.0114
ARL6	-1.01	0.0135
ARL6IP1	-1.42	0.00726
ARPC1B	-1.87	0.00429
ARPC4	-1.07	0.0243
ARPC5	-1.22	0.0181
ARPC5L	-1.04	0.0149
ASNS	-4.95	0.000127
ATL2	-2.08	0.0405
ATP2A2	-1.52	0.0229
ATP5F1A	-5.56	5.96e-05
ATP6V1C1	-1.46	0.00234
ATXN2L	-1.94	0.00539
AUH	-4.57	0.00341
BABAM2	-2.65	0.000492
BCKDHB	-1.34	0.0397
BCL2L1	-1.16	0.0364
BDH1	-2.11	0.0331
BGN	-5.17	6.28e-05
BHMT	-3.79	0.00627
BICD2	-1.83	0.00486
BIN1	-12.1	2.03e-05
BLOC1S1	-2.18	0.0279
BLOC1S3	-2.72	0.00109
BNIP1	-3.79	0.00477
BTF3L4	-3.82	0.000176
C1orf198	-4.7	0.000742
C1QTNF3	-3.32	0.00545
C3	-3.46	0.0013
C4A	-2.54	0.000982
C5	-1.73	0.015
C9	-5.19	0.000389
CAMK1	-2.79	0.000968
CANX	-1.88	0.00321
CAPG	-1.65	0.00263
CAPZB	-1.05	0.0172
CAT	-4.16	5.7e-05
CAVIN1	-2	0.00121
CBX3	-1.33	0.00901
CCDC93	-3.25	0.0219
CCN2	-2.72	0.00117
CDV3	-1.08	0.0226
CFL1	-1.28	0.00639
CHD4	-2.46	0.0413
CHMP2A	-9.46	2.03e-05
CHMP5	-1.53	0.00469
CHTOP	-2.5	0.00579
CKB	-1.21	0.0198
CLEC3B	-3.64	0.00103
CLINT1	-6.62	2.03e-05
CLIP2	-3.72	0.000124
CLPX	-2.7	0.00755
CLTB	-1.26	0.0163
CNBP	-2.2	0.00865
CNN1	-10	4.84e-05
CNN2	-2.49	0.000573
CNN3	-3.76	0.00012
CNPY4	-1.03	0.0175
COL12A1	-2.27	0.000692
COL18A1	-2.69	0.00439
COL1A1	-3.06	0.00195
COL1A2	-3.04	0.00187
COL2A1	-1.89	0.0243
COL3A1	-4.19	0.000873
COL6A2	-3.09	0.0212
COMP	-4.33	0.0014
CORO1B	-1.09	0.0112
CPD	-1.42	0.0152
CPSF6	-13.5	2.03e-05
CROCC	-2.5	0.0414
CRYAB	-4.58	0.000155
CRYM	-1.54	0.00463
CS	-1.29	0.00924
CSRP1	-3.3	0.000224
CTNNA1	-1.99	0.0047
CTNND1	-2.42	8e-04
CYRIB	-1.08	0.0206
DBNL	-2.68	0.0044
DCD	-3.47	0.0037
DDAH1	-1.89	0.00322
DDX1	-2.69	0.000352
DDX17	-4.91	0.000357
DDX39A	-4.19	0.0013
DDX39B	-5.61	0.000226
DDX5	-4.36	0.000156
DDX6	-2.42	0.00157
DHX15	-6.11	4.84e-05
DIP2B	-3.16	0.000249
DLGAP4	-2.68	0.000879
DNAJA1	-3.18	0.000918
DNAJB11	-1.25	0.00981
DNAJC13	-3.21	0.000298
DPYSL3	-3.41	0.000531
DSG1	-3.68	0.025
DSTN	-2.72	0.00168
DYNC1H1	-1.22	0.00855
DYNC1I2	-3.79	9.83e-05
DYNC1LI1	-3.05	0.000155
DYNLRB1	-1.21	0.0155
EFEMP1	-4.4	0.0174
EFTUD2	-2.74	0.000224
EHD3	-2.43	0.00707
EHD4	-4.81	0.000146
EIF2S1	-2.34	0.00155
EIF2S3	-2.02	0.00105
EIF3I	-1.48	0.00835
EIF3J	-1.93	0.00287
EIF4A1	-2.53	0.000451
EIF4B	-1.96	0.00776
ELP1	-1.49	0.0144
EMC2	-2.44	0.011
EML1	-2.26	0.00468
ENO2	-3.93	0.000744
ENO3	-3.32	0.000192
ENPP2	-1.06	0.0428
ESYT2	-1.66	0.0135
EXOSC4	-1.91	0.0268
F10	-2.95	0.00268
F2	-2.88	0.00121
FAM120C	-1.79	0.00701
FAM3A	-6.65	0.000522
FAM98B	-2.38	0.000887
FARP1	-3.4	0.000442
FBLN1	-3.1	0.000422
FBLN2	-6.94	2.69e-05
FBN1	-2.81	0.000504
