ID	T2DM_vs_X5_ratio	T2DM_vs_X5_p.adj
AAMP	-2.6	0.0021
AARS1	-2.02	0.000207
ABCA1	-2.97	0.0394
ABCE1	-1.76	0.00033
ABRAXAS2	-2.01	0.000483
ACTA2	-3.73	5.91e-05
ACTB	-2.43	0.000371
ACTBL2	-7.56	2.23e-05
ACTN1	-2.44	0.000171
ACTR10	-1.74	0.00373
ACTR1B	-2.97	0.00224
ACTR2	-1.38	0.00168
ACTR3	-1.7	0.000666
ADA	-2.44	7.64e-05
ADSS2	-2.27	0.000213
AHCYL1	-1.74	0.00045
AHSG	-3.05	0.000684
AIP	-1.28	0.00206
AKR1A1	-4.1	5.14e-05
AKR1B10	-11.2	2.97e-06
AKT1S1	-1.57	0.0188
ALB	-2.38	0.00386
ALDH1L1	-8.93	2.24e-05
ALDH2	-1.21	0.00108
ALDH3A1	-7.47	1.56e-05
ALDH3A2	-1.87	0.0041
ALDH6A1	-1.9	0.000933
ALDH9A1	-2.91	0.000148
ALDOB	-3.58	0.00996
AMY1A	-6.26	0.0137
ANKH	-4.52	7.56e-05
ANKHD1	-2.51	0.00186
ANKRD46	-4.62	0.000196
ANP32B	-1.39	0.0031
ANP32E	-3.73	5.98e-05
ANXA3	-1.42	0.00468
AP2S1	-1.67	0.00108
AP3S1	-1.04	0.0035
APCS	-11.2	9.39e-05
APOA1	-5.84	4.86e-05
APOC3	-6.18	0.000103
APOH	-2.62	0.00486
APPL1	-4.03	0.000178
ARAF	-4.6	0.000349
ARF1	-1.55	0.00238
ARF5	-2.35	0.000328
ARFIP1	-1.49	0.00208
ARFRP1	-1.66	0.00671
ARG1	-4.3	0.0113
ARHGDIA	-1.45	0.000875
ARHGEF1	-1.68	0.00473
ARHGEF10L	-3.07	0.00247
ARHGEF2	-1.36	0.00141
ARL3	-1.82	0.000431
ARL6	-1.94	0.00244
ARL6IP1	-2.49	0.00052
ARL8B	-1.25	0.0014
ARPC1B	-1.61	0.0023
ARPC4	-1.28	0.00363
ARPC5	-1.45	0.00146
ARPC5L	-1.51	0.000587
ARPIN	-4.39	0.00025
ASNS	-5.5	2.24e-05
ATIC	-1.33	0.000746
ATP1A1	-1.89	0.000674
ATP2A2	-1.18	0.0337
AUH	-4.11	0.000269
BABAM2	-1.57	0.014
BCKDHB	-1.38	0.00197
BCL2L1	-2.15	0.000129
BCL2L2	-1.2	0.0155
BDH1	-2.15	0.000214
BGN	-6.89	1.18e-05
BICD2	-2.08	0.000319
BLOC1S4	-1.31	0.0125
BTF3L4	-3.39	0.000264
C1orf198	-1.24	0.00394
C1QTNF3	-3.72	0.0136
C3	-2.26	0.0048
C4A	-2.21	0.000341
C9	-2.64	0.00494
CAB39	-1.23	0.00125
CALM3	-1.31	0.00846
CALML5	-4.25	0.00396
CAMK1	-3.44	9.35e-05
CAPG	-2.46	0.00012
CAPRIN1	-2.28	0.000536
CAPZA2	-1.16	0.00322
CAPZB	-1.56	0.000546
CAT	-4.54	2.19e-05
CAV1	-1.46	0.00135
CAVIN1	-1.76	0.000484
CBX1	-1.24	0.00604
CCDC6	-1.51	0.00175
CCDC93	-2.66	0.00249
CCN2	-3.64	0.000264
CCT3	-1.15	0.00137
CCT4	-1.49	0.000413
CCT8	-1.32	0.000912
CDC42	-1.29	0.00146
CDIPT	-1.32	0.0103
CDK5	-2.84	0.000254
CDK9	-1.48	0.0245
CDV3	-1.65	0.00143
CELF1	-5.36	8.88e-05
CFL1	-1.25	0.00383
CFL2	-1.64	0.00142
CHMP2A	-7.34	2.24e-05
CHMP2B	-1.1	0.0139
CHMP5	-1.23	0.0482
CKB	-1.61	0.000341
CLINT1	-3.39	6.94e-05
CLIP2	-2.16	0.000746
CLTB	-2.27	0.000314
CNBP	-3.1	0.000211
CNN1	-8.74	2.18e-05
CNN2	-1.55	0.0018
CNN3	-2.82	0.000207
CNOT9	-3.95	0.000201
CNPY4	-2.45	0.00971
CNTN1	-3.04	0.0376
COG3	-1.46	0.00846
COL18A1	-5.66	0.00183
COL1A1	-1.39	0.016
COL3A1	-4.13	0.000177
COL8A1	-3.31	0.000408
COPB2	-1.03	0.0148
CP	-3.73	0.00765
CRK	-1.19	0.00149
CRYAB	-5.37	1.83e-05
CRYM	-1.21	0.0496
CRYZ	-2.17	0.0184
CSNK1D	-2.15	0.0226
CSRP1	-3.56	4.86e-05
CSTA	-2.52	0.00775
CTNNA1	-1.62	0.0115
CTNND1	-1.6	0.000807
CTPS1	-1.03	0.00295
CUL1	-2.28	0.00168
CYB5A	-4.57	5.38e-05
CYP1B1	-2.35	0.000311
CYP20A1	-3.35	0.000316
CYRIB	-1.91	0.000476
DAD1	-1.4	0.00587
DCLK1	-3.18	0.00031
DDAH1	-2.74	8.07e-05
DDX39B	-1.06	0.00432
DDX3X	-1.79	0.000243
DDX5	-3.81	2.45e-05
DDX6	-1.96	0.00349
DLGAP4	-2.44	0.000962
DNAJA1	-1.61	0.0186
DNAJA2	-1.31	0.0146
DNAJB11	-2.22	0.000316
DNAJC25	-1.82	0.000379
DPYSL2	-1.28	0.000904
DPYSL3	-3.79	3.68e-05
