ID	CS.T2DM_vs_M.Ctr_ratio	CS.T2DM_vs_M.Ctr_p.adj
ACTB	-2.28	2.03e-05
VIM	-1.13	0.00709
ACTA2	-4.12	4.47e-06
FLNA	-2.09	7.59e-05
ACTN1	-2.71	1.94e-05
TLN1	-1.69	7.66e-05
CRYAB	-5.02	3.22e-06
TUBB4B	-4.37	3.4e-06
VCL	-2.34	2.51e-05
TUBB2A	-2.05	4.09e-05
EEF2	-1.45	0.00018
TUBA1C	-1.05	0.000756
ENO3	-6.96	0.00075
KRT9	-2.85	0.0246
HSPA8	-1.44	0.000253
ENO2	-5.04	5.55e-06
MSN	-1.13	0.000473
ACTBL2	-7.02	3.03e-06
KRT2	-2.4	0.0162
HSP90AB1	-3.23	1.63e-05
VCP	-1	0.000725
KRT10	-2.33	0.03
TPM2	-5.44	3.22e-06
TAGLN	-2.69	1.62e-05
HSPA5	-1.6	0.000113
CFL1	-1.07	0.0038
HSPA9	-1.66	9.8e-05
TPM1	-3.04	2.59e-05
TAGLN2	-1.37	0.00017
DPYSL3	-3.43	1.25e-05
MYO1C	-2.02	0.000171
YWHAZ	-2.03	6.2e-05
EIF4A1	-1.03	0.00213
MYH11	-7.48	0.000131
TPM3	-2.69	2.6e-05
IPO5	-1.87	7.41e-05
CSRP1	-3.46	1.31e-05
ACTN3	-1.51	0.0039
YWHAE	-2.05	0.000171
HSP90B1	-1.25	0.000337
HSPA4	-1.1	0.000776
YWHAG	-2.66	7.71e-05
PRDX1	-1.29	0.000263
KPNB1	-1.01	0.00062
KRT14	-3.57	0.0368
RACK1	-2.58	1.61e-05
CNN3	-2.81	3.99e-05
SLC25A5	-2.36	6.5e-05
KIF5B	-1.51	0.000201
NME2	-1.95	0.000235
EEF1G	-1.24	0.00052
DPYSL2	-1.54	0.000192
YWHAB	-1.39	0.000787
KRT16	-6.9	0.0028
ATP1A1	-1.2	0.000509
KRT6B	-7	0.000531
ACTR3	-1.96	7.95e-05
CNN2	-1.25	0.000675
PGD	-2.57	4.01e-05
KRT6A	-7.22	0.00332
KRT5	-2.83	0.0159
CCT4	-1.45	0.000203
GDI1	-1.63	0.000212
HNRNPK	-1.58	0.000128
CNN1	-8.29	4.47e-06
CFL2	-1.21	0.000698
GNB1	-1.69	0.000123
SLC25A4	-2.21	3.86e-05
GLUD1	-1.81	6.43e-05
COL1A1	-1.49	0.00229
NQO1	-4.57	3.53e-06
RPS3	-1.03	0.000562
NME1	-3.04	4.32e-05
DSTN	-2.15	0.000251
PDIA3	-1.04	0.000586
GNB2	-2.17	0.000254
HSPA1B	-1.43	0.000574
VPS35	-2.19	3.23e-05
MYL9	-3.37	4.32e-05
PPP2R1A	-1.1	0.000656
HSPA1L	-4.06	7.44e-06
FHL1	-7.01	2.22e-06
ACTR2	-1.59	0.000141
SERPINH1	-1.31	0.000186
AARS1	-2.2	4.87e-05
WDR1	-1.12	0.000325
S100A11	-1.12	0.0046
YWHAH	-1.51	0.000431
TXNL1	-2.7	2.6e-05
ARHGDIA	-1.23	0.000618
RAP1B	-1.09	0.00251
PCBP1	-1.86	0.000143
SEPTIN7	-2.3	2.27e-05
CCT3	-1.15	0.000717
TPP2	-3.36	3.86e-05
UGDH	-1.23	0.00031
DDX3X	-1.03	0.000657
CAPZB	-1.29	0.000536
PLOD2	-4.9	2.93e-06
CAVIN1	-2.11	3.07e-05
RPLP0	-1.69	0.000129
PPP1CA	-1.48	0.000196
RPSA	-1.75	0.000106
PPP1CB	-1.64	0.000165
HNRNPA2B1	-1.14	0.00109
PSMB5	-1.2	0.00111
PDLIM5	-1.69	0.00023
GNAI2	-1.42	0.000465
IDH1	-1.77	8.83e-05
RHOA	-1.41	0.000591
CKB	-1.83	6.5e-05
PABPC1	-1.61	0.000174
FERMT2	-1.45	0.000539
ARF5	-1.71	0.000283
SEPTIN11	-1.84	7.49e-05
PHGDH	-5.74	2.23e-06
LCP1	-1.5	0.000351
PSMC3	-1.17	0.000776
KRT17	-7.28	0.00744
AP2A2	-1.24	0.00093
CNBP	-3.31	4.72e-05
P4HA1	-2.56	2.6e-05
PSMA6	-1.68	0.000201
RPS8	-2.24	8.46e-05
RHOC	-1.1	0.00217
PSMC5	-1.73	0.000108
RPS3A	-1.4	0.00018
PSMA4	-1.44	0.000438
RAB14	-1.23	0.000508
ALDH9A1	-2.45	8.16e-05
IDH3A	-3.02	1.65e-05
NIBAN2	-1.47	0.000196
PSMA7	-1.03	0.0011
RAP1A	-2.47	8.16e-05
TAGLN3	-12.9	3.98e-07
EHD4	-4.29	1.18e-05
PSMC2	-1.16	0.000819
MYO1D	-3.84	1.21e-05
TALDO1	-1.95	5.14e-05
PSMC6	-2.02	7.79e-05
HNRNPU	-1.07	0.00271
LAP3	-1.13	0.0015
ILK	-3.03	2.36e-05
PPP2CA	-1.63	0.000201
PALLD	-1.86	7.68e-05
PABPC4	-2.58	0.00188
DYSF	-1.52	0.000425
RAN	-1.56	0.000216
SARS1	-1.16	0.000667
PPP2CB	-1.4	0.00199
RAB11B	-1.53	0.000254
PRDX4	-2.23	4e-05
RPS7	-1.07	0.00951
PCBP2	-1.28	0.000331
ROCK2	-3.89	0.000122
HNRNPA3	-2.27	4.35e-05
CTNND1	-2.26	5.55e-05
ALDH2	-1.05	0.000944
MTAP	-3.37	1.31e-05
OTUB1	-1.11	0.000855
UBE2K	-2.15	9.62e-05
CDC42	-1.09	0.00115
RPS2	-1.3	0.000541
ACTR1A	-1.21	0.00134
CCN2	-2.91	8.53e-05
RPS6	-1.51	0.000192
MAPK1	-1.4	0.000836
PDLIM7	-1.32	0.000278
RAC1	-1.8	0.000145
ETF1	-1.84	9.68e-05
RPL23	-1.93	0.000603
FHL2	-1.06	0.00187
TGFB1I1	-5.14	2.44e-06
EIF2S1	-1.77	0.000315
PITPNA	-3.02	1.69e-05
PSMA3	-1.16	0.000573
USP14	-1.25	0.000351
STAT3	-1.38	0.00713
DDX5	-2.21	4e-05
IPO9	-2.16	0.000586
TNS1	-2.61	2.23e-05
JUP	-3.96	0.000126
RPS16	-1.22	0.00216
PSMA5	-1.35	0.000546
ARPC5	-1.03	0.00193
NACA	-2.63	5.22e-05
PICALM	-1.49	0.000219
HNRNPH1	-5.51	3.4e-06
RPS14	-1.54	0.00194
PSMD7	-1.39	0.000258
COL3A1	-4.11	7.66e-05
RTCB	-1.84	0.00012
HPRT1	-4.33	5.49e-06
MAP2K1	-4.24	1.02e-05
PAICS	-1.36	0.000637
PDLIM1	-2.8	2.65e-05
AKR1A1	-3.79	1.77e-05
HMGB1	-1.52	0.0156
TARS1	-1.86	8.03e-05
SEPTIN8	-2.19	5.99e-05
LIMS1	-3.38	1.22e-05
DDX1	-1.56	0.000703
CRK	-1.06	0.000789
NEDD4	-5.14	3.22e-06
RPS18	-1.17	0.00444
RSU1	-1.81	7.24e-05
GDA	-11.9	3.98e-07
RPL8	-1.82	0.000233
EIF3B	-4.15	7.49e-05
DYNLL1	-1.04	0.00515
PSMD4	-1.59	0.000152
DYNC1I2	-1.05	0.00166
HNRNPF	-1.37	0.00127
RPL18A	-1.03	0.0015
SNX2	-1.89	7.87e-05
ADSS2	-2.56	6.26e-05
CUL1	-2.58	3.76e-05
