ID	CS.T2DM_vs_N.ctr_ratio	CS.T2DM_vs_N.ctr_p.adj
ACTA2	-3.12	0.00576
ACTN1	-2.76	0.0401
CRYAB	-6.68	0.00251
TUBB4B	-3.1	0.00291
VCL	-2.72	0.0415
TUBA1A	-1.81	0.03
KRT1	-6.33	0.00155
ENO3	-5.32	0.0138
KRT9	-6.65	0.000711
ENO2	-3.19	0.0383
ACTBL2	-6.37	0.00134
KRT2	-6.55	0.00144
HSP90AB1	-3.1	0.0227
KRT10	-6.34	0.00201
TPM2	-6.62	0.000557
TAGLN	-4.44	0.0149
TPM4	-2.94	0.0131
ALB	-4.3	0.00323
TPM1	-3.44	0.00613
DPYSL3	-2.26	0.0451
YWHAZ	-4.85	0.00134
MYH11	-6.03	0.0181
TPM3	-4.27	0.00291
CSRP1	-5.55	0.00213
ANXA5	-2.95	0.00425
YWHAE	-4.95	0.00134
YWHAG	-5.45	0.00103
PRDX1	-3.69	0.00468
KRT14	-6.08	0.00091
RACK1	-4.93	0.00444
YWHAB	-3.82	0.00639
KRT16	-9.29	0.000557
KRT6B	-9.4	0.00105
KRT6A	-8.72	0.000655
KRT5	-6.66	0.000771
CNN1	-6.98	0.00395
TCP1	-1.68	0.0237
TPI1	-2.56	0.013
NQO1	-5.86	0.00245
ARPC1B	-2.05	0.0474
MYL9	-5.76	0.0012
FHL1	-10.3	0.000557
YWHAH	-4.15	0.00253
TXNL1	-2.78	0.0261
ARHGDIA	-3.42	0.012
AHSG	-2.34	0.0195
SEPTIN7	-1.59	0.0282
CAPZB	-3.26	0.0284
CTNNA1	-2.11	0.0179
HNRNPA2B1	-2.56	0.0183
RHOA	-3.03	0.0279
UCHL1	-2.37	0.009
PHGDH	-5.41	0.000711
KRT17	-5.59	0.0458
CNBP	-5.56	0.00074
PSMA6	-3.45	0.0238
AFP	-5.01	0.00663
TAGLN3	-14.5	0.000557
C3	-3.85	0.0142
RAN	-4.95	0.0033
PRDX4	-4.68	0.00278
TPT1	-2.43	0.0174
MTAP	-4.44	0.0321
OTUB1	-1.98	0.0188
UBE2K	-3.82	0.0191
CDC42	-2.87	0.036
CCN2	-3.31	0.00656
RAC1	-3.85	0.00949
ETF1	-1.82	0.0186
EIF2S1	-4.26	0.0146
PITPNA	-2.68	0.00488
ANXA4	-3.04	0.00466
JUP	-3.86	0.00319
PSMA5	-3.05	0.0243
KRT77	-4.51	0.0116
HNRNPH1	-4.83	0.00092
COL3A1	-3.48	0.0249
HPRT1	-6.68	0.000784
GC	-4.01	0.00296
MAP2K1	-2.87	0.00463
PDLIM1	-1.79	0.0382
AKR1A1	-4.99	0.00352
HMGB1	-3.6	0.0158
LIMS1	-3.76	0.0226
CRK	-2.5	0.0248
NEDD4	-4.08	0.002
GDA	-11.5	0.000369
ADSS2	-2.24	0.0113
PTGES3	-4.15	0.0115
DDAH1	-2.94	0.00469
BGN	-4.47	0.00184
S100A6	-3.6	0.0369
PA2G4	-2.38	0.0302
RPL11	-2.76	0.0135
IMPDH2	-3.73	0.00815
CYRIB	-3.19	0.0308
ASNS	-5.04	0.00454
PREP	-2.41	0.0291
HIBADH	-4.48	0.00251
S100A4	-4.44	0.0342
SRSF2	-4.21	0.00137
RPL15	-4.75	0.0012
C4A	-1.9	0.0202
PPP2R2A	-2.51	0.0139
PAK1	-4.32	0.0498
PSPH	-7.77	0.000711
DYNC1LI1	-2.33	0.00973
USP9Y	-3.25	0.00514
PARK7	-1.86	0.0209
TES	-1.87	0.0389
QDPR	-2.74	0.0174
CAT	-3.51	0.00468
STIP1	-2.12	0.0154
RANBP1	-4.93	0.00251
TTR	-3.32	0.00546
MEMO1	-4.27	0.0024
ITPR1	-5.88	0.0345
PCK2	-2.29	0.00873
CDK5	-3.31	0.0424
TMSB4X	-6.01	0.0211
OSTF1	-4.08	0.0127
GSPT1	-1.98	0.0282
CBX3	-1.79	0.0337
FBLN1	-2.91	0.0445
HGFAC	-3.36	0.00441
PCNA	-3.41	0.00558
GMPPB	-2.23	0.0282
SRSF1	-4.29	0.00242
CLEC3B	-7	0.000783
EIF1AX	-2.63	0.00759
PDGFRB	-3.43	0.0259
AKR1B10	-10.9	0.000711
NIT2	-2.06	0.0463
FHL3	-5.75	0.000711
SH3GLB1	-2.82	0.0367
EEF1B2	-2.46	0.0238
SBDS	-2.37	0.0288
NEDD4L	-4.01	0.0015
VPS29	-2.85	0.00468
RAB30	-3.3	0.00716
UCHL3	-2.18	0.0252
HNRNPAB	-3.38	0.0318
NRAS	-6.25	0.00944
SRSF3	-3.5	0.0154
PSMD9	-2.98	0.0138
LTF	-4.21	0.00687
FKBP3	-2.83	0.0323
GLOD4	-2.26	0.0266
ANP32E	-4.91	0.0194
HRNR	-7.72	0.00283
UBE2H	-3.72	0.00981
KRT78	-6.05	0.00194
LIMS2	-5.74	0.00229
GAPDHS	-5.93	0.0012
PSMB6	-2.94	0.0322
IST1	-2.14	0.0198
ITGA1	-5.45	0.0286
TMX3	-2.17	0.0261
LMNB1	-3.69	0.0327
LMCD1	-2.17	0.0121
PDAP1	-3.01	0.00626
CLTB	-3.95	0.00873
LMOD1	-2.25	0.0405
STK26	-5.31	0.000711
