ID	X10_vs_X5_ratio	X10_vs_X5_p.adj
AACS	4.45	0.000819
AAK1	2.87	0.0185
ABCC1	4.6	0.00139
ABCF1	3.29	0.00433
ABCF2	3.69	0.000607
ABHD12	2.59	0.00547
ACAA1	2.21	0.0201
ACAA2	1.77	0.00623
ACAD9	3.81	0.00158
ACADS	2.87	0.017
ACADSB	4.47	0.000579
ACAP2	3.14	0.00722
ACAT1	3.14	0.0128
ACOT9	6.33	0.000999
ACOX1	2.28	0.0172
ACP2	5.84	0.00694
ACSL4	5.24	0.00756
AFG3L2	3.35	0.000982
AGPAT1	3.54	0.000326
AGPS	3.1	0.0138
AHNAK	3.04	0.000264
AIFM1	2.46	0.00326
AK3	3.52	0.000197
AKAP2	1	0.0257
AKT1	2.36	0.0055
ALDH18A1	5.73	0.0383
ALDH2	5.03	0.000252
ALDH7A1	2.59	0.000577
ALYREF	3.96	0.000519
ANKH	4.47	0.00024
ANKHD1	2.13	0.00272
ANKRD46	6.33	0.000457
ANO6	2.72	0.00344
ANXA11	2.89	0.000577
AP1G1	2.69	0.039
AP1M1	4.53	0.000326
AP2A2	1.15	0.0287
AP2M1	2.21	0.00838
AP3D1	5.97	0.00015
APEH	4.31	0.000173
APLP2	1.32	0.0321
APMAP	4.94	0.000612
APPL1	1.31	0.00758
ARAF	4.88	0.000142
ARCN1	3.57	0.0165
ARF6	1.89	0.01
ARFGAP1	3.58	0.00651
ARFRP1	1.65	0.0147
ARHGEF17	2.51	0.00203
ARIH1	2.97	0.0357
ARL6IP1	2.66	0.000866
ARL8A	1.34	0.0421
ARL8B	1.75	0.00147
ARMCX3	3.03	0.00246
ASCC3	2.52	0.000803
ASL	5.79	0.000388
ATAD3A	4.53	0.000737
ATG16L1	3.43	0.0122
ATG7	1.71	0.00508
ATL3	5.73	0.0269
ATP13A1	5.25	0.00324
ATP1A1	2.01	0.00181
ATP2A2	2.15	0.0079
ATP2B1	5.53	0.00614
ATP5F1B	3.62	0.000415
ATP5F1D	6.14	0.00066
ATP5MK	4.69	0.000109
ATP5PD	4.28	0.000278
ATP5PO	5.27	0.000173
ATP6V0A1	4.07	0.000307
ATP6V0D1	1.6	0.0078
ATP6V1B2	1.75	0.0353
ATP6V1H	2.82	0.000866
ATXN10	5.6	0.000153
AUH	2.3	0.0491
B3GAT3	4.27	0.000203
BASP1	2.67	0.0151
BCAP31	5.42	0.000803
BCAS3	2.13	0.0128
BCKDHA	4.74	0.00458
BCKDHB	1.56	0.0271
BGN	1.85	0.00344
BIRC6	2.09	0.0117
BLMH	3.97	0.00289
BTF3	1.36	0.0369
BUB3	3.39	0.0495
CALD1	3.13	0.000847
CAMK2D	1.65	0.00495
CAV1	4.2	0.000307
CAVIN2	4.77	0.0325
CAVIN3	2.08	0.00428
CBR3	3.01	0.0481
CCDC47	4.3	0.000798
CCT6B	1.87	0.0327
CDC37	3.3	0.0035
CDC42BPA	2.32	0.002
CDIPT	4.72	0.0102
CDKN2A	1.99	0.00628
CEP170	1.38	0.0199
CERT1	2.81	0.000819
CHCHD3	5.98	0.00294
CHID1	5.52	0.000903
CHP1	3.43	0.000567
CHTOP	2.09	0.014
CIAO2B	1.89	0.0315
CIRBP	3.22	0.00774
CKAP4	1.91	0.00166
CLCN7	3.16	0.00547
CLPTM1	5.36	0.000339
CLPTM1L	3.18	0.00855
CLPX	1.66	0.0497
CNOT1	2.85	0.000307
CNOT9	3.17	0.00726
CNPY4	1.82	0.00272
COG3	4.73	0.000168
COG4	2.64	0.00788
COG5	2.54	0.00257
COMT	1.6	0.00777
COPS7B	1.2	0.0409
COPZ1	1.05	0.0357
CORO1C	1.67	0.00279
COX5A	6.09	0.000438
CPNE1	3.28	0.00121
CPT2	4.59	0.0016
CRIP2	2.59	0.0257
CRTAP	4.12	0.000244
CRYZ	1.91	0.0229
CSK	3.29	0.006
CSNK1D	2.58	0.037
CSRP2	2.15	0.00135
CSTF2	3.28	0.011
CTPS2	1.7	0.0105
CTTN	7.55	0.00199
CUL1	4.02	0.00238
CUL3	3.41	0.000307
CUL4A	3.19	0.00344
CUL5	2.21	0.0298
CYB5A	3.97	0.00701
CYB5R1	7.22	8.41e-05
CYB5R3	5.45	0.000326
CYC1	5.98	0.000363
CYP1B1	7.6	8.41e-05
CYP20A1	5.62	0.000207
CYP51A1	5.48	8.41e-05
DAD1	6.55	0.000808
DAP3	3.29	0.00137
DAZAP1	3.04	0.0449
DBT	2.39	0.0184
DCTN2	6.61	8.39e-05
DCTN4	4.05	0.000833
DDOST	7.2	0.000142
DDX3X	4.21	0.0102
DDX5	1.87	0.00512
DERL1	3.02	0.0168
DHX30	1.42	0.0253
DHX36	1.74	0.00857
DHX9	3.15	0.00585
DLAT	6.55	6.8e-05
DLD	6.95	0.00384
DLG1	1.98	0.00703
DNAJB11	2.05	0.00195
DNAJC10	4.23	0.00089
DNAJC19	1.54	0.0321
DNAJC25	3.98	0.0275
DNAJC3	3.86	0.00771
DNM1L	1.05	0.0183
DOCK7	4.2	0.00158
DPM1	4.56	0.00459
DPYSL2	1.37	0.0185
DRG1	2.95	0.00272
DYNC1LI2	5.8	0.00349
DYNC2H1	2.22	0.0105
DYNLT1	1.17	0.00907
DYSF	2.36	0.000567
EEF1A2	3.41	0.039
EFR3A	4.02	0.0079
EHD1	1.2	0.0115
EHD2	1	0.0138
EIF1	1.69	0.0156
EIF2B5	3.2	0.000311
EIF2S2	2.9	0.000833
EIF3E	6.66	0.000679
EIF3F	1.57	0.00382
EIF3L	2.8	0.00701
EIF4A3	5.7	0.000954
EIF4G2	5.72	0.000793
EIF4G3	4.98	0.000107
EMC1	3.7	0.0198
EMC3	4.38	0.0056
EMC4	3.55	0.00149
EMC6	3.84	0.000714
EMC7	4.53	0.000385
EMC8	4.19	0.0382
EMD	6.96	7.69e-05
EML1	1.53	0.0235
EML2	1.81	0.0255
ENAH	3.32	0.00248
EPB41L2	3.05	0.0368
EPHA2	1.98	0.00416
ERAP1	2.94	0.000924
ERC1	3.54	0.000821
ERGIC1	7.52	0.000327
ERH	1.96	0.041
ERLEC1	3.9	0.000264
ERLIN2	1.16	0.0136
ERO1A	3.16	0.0143
ERP29	2.22	0.00344
ERP44	4.83	0.0277
ESYT1	3.07	0.000311
ETF1	1.86	0.0353
ETFB	1.18	0.0294
EWSR1	3.73	0.001
EXOC2	3.4	0.0332
EXOC6B	3.18	0.000924
EXOC7	2.91	0.00691
EZR	3.93	0.000496
FAF2	7.09	0.00167
FAM114A1	2.28	0.00148
FAM120A	1.26	0.0321
FAM98B	3.05	0.000561
FARP1	1.27	0.024
FAT1	2.64	0.00977
FBL	6.51	0.00132
FH	4.02	0.0013
FHOD1	2.7	0.0216
FIS1	1.68	0.0116
FKBP10	7.08	0.000152
FKBP2	1.47	0.00357
FKBP7	3.18	0.00274
FKBP9	2.54	0.00887
FLOT2	5.93	0.000152
FUBP1	5.14	0.000903
FUS	5.43	0.0189
FXN	2.52	0.00837
FXR1	5	0.00515
FYCO1	2.86	0.0119
G3BP2	4.83	0.000726
GAA	2.63	0.00274
GABARAP	2.36	0.0198
GAK	1.56	0.00845
GALNT2	4.24	0.000294
GANAB	4.1	0.00183
GATD3B	2	0.00279
GBE1	1.81	0.00955
GFPT2	2.81	0.00987
GLB1	2.82	0.00191
GLG1	2.78	0.00112
GLIPR2	1.81	0.00863
GLUD1	3.06	0.00089
GNA11	3.44	0.00483
GNAI2	1.15	0.0177
GNAI3	3.75	0.028
GNAQ	2.61	0.00147
GNAS	5.16	0.00149
GNB4	4.27	0.000819
GNS	3.12	0.0358
GOLGA2	3.23	0.000294
GOLGA5	3.32	0.026
GOLGA7	3.2	0.00571
GOLGB1	3.97	0.00469
GOLIM4	5.43	0.00437
GOLT1B	5.66	8.41e-05
GOPC	5.18	0.00239
GORASP2	7.12	6.8e-05
GOSR1	1.83	0.00453
GOSR2	4.38	0.000586
GOT2	1.15	0.00812
GPHN	2.15	0.0246
GPS1	4.33	0.000714
GREM1	3.42	0.0227
GRPEL1	3.62	0.000307
GSK3A	3.47	0.0114
H1-0	3.86	0.00347
H1-2	3.08	0.0248
H2AC20	3.2	0.000716
H2AZ2	4.43	0.000604
H2BC18	3.15	0.00117
H3C1	4.42	0.00178
H4C1	3.79	0.000369
HADHA	7.57	0.000212
HDGFL3	4.53	0.00459
HEATR5A	1.96	0.0287
HECTD3	3.01	0.0219
HIBADH	1.96	0.0421
HIBCH	3.41	0.00507
HMGCS1	2.91	0.0074
HMOX1	5.36	0.000311
HNRNPA0	4.38	0.00066
HNRNPA1	1.9	0.0129
HNRNPA2B1	1.44	0.0321
HNRNPA3	2.68	0.00199
HNRNPC	2.46	0.000567
HNRNPH1	1.62	0.00987
HNRNPL	3.63	0.000311
HNRNPLL	4.56	0.0189
HNRNPR	4.84	0.00265
HNRNPUL1	3.45	0.00832
HNRNPUL2	5.03	0.011
HRAS	2.71	0.00208
HS2ST1	5.21	0.000694
HSD17B4	1.28	0.039
HSD17B8	1.42	0.0078
HSP90B1	2.18	0.000726
HSPA1L	6.24	0.000152
HSPA5	1.35	0.0105
HSPA9	2.93	0.000544
HSPD1	1.9	0.00241
HYOU1	2.4	0.000896
IARS2	1.13	0.0485
IDH2	3.36	0.00406
IDH3A	1.65	0.00594
IDH3B	6.13	0.0122
IDH3G	5.53	0.000896
IGF2BP2	3.38	0.000313
ILF2	4.16	0.0233
ILF3	4.4	0.00357
ILK	2.73	0.00958
IMMT	4.37	0.000264
IMPDH1	3.64	0.00125
INF2	3.48	0.0221
ISCU	3.51	0.000548
IST1	1.54	0.00666
ITGA1	2.22	0.000866
ITGA5	1.96	0.00105
ITGAV	2.45	0.00185
ITGB1	1.85	0.00209
ITM2B	4.14	0.0115
IVD	1.19	0.00888
JAGN1	2.43	0.00428
KARS1	6.88	6.8e-05
KCMF1	4.33	0.000152
KIDINS220	1.61	0.0157
KIF1B	3.18	0.0138
KIF2A	3.18	0.00414
KLHL22	3.67	0.0122
KPNA1	3.21	0.0115
KPNA2	1.5	0.00365
KPNA4	1.97	0.00901
KPNA6	2.84	0.0204
KRT13	2.3	0.0286
KRT77	5.43	0.000294
LAMTOR1	3.59	0.000817
LAMTOR3	4.54	0.00447
LARP1	1.39	0.0186
LETM1	5.05	0.00333
LIN7C	2.26	0.00393
LMAN1	4.78	0.000317
LMAN2	4.49	0.0101
LMCD1	2.25	0.0168
LMNA	3.1	0.00102
LOX	3.17	0.00228
LRPPRC	3.37	0.000399
LRRC59	4.83	0.000563
LRRFIP2	2.23	0.00167
LSM12	1.32	0.0124
MACF1	1.69	0.00189
MAGED2	4.16	0.00265
MAGT1	2.39	0.00609
MAN2A1	4.56	0.0116
MAP1A	2.83	0.016
MAPRE3	1.6	0.0255
MARCKSL1	3.45	0.00457
MATR3	6.54	7.69e-05
MCRIP1	3.05	0.00106
MCU	3.02	0.0225
METAP2	2.86	0.00749
METTL7A	3.54	0.000258
METTL9	3.41	0.000327
MGST1	1.93	0.0024
MICU1	1.46	0.026
MIX23	1.35	0.0221
MLEC	3.74	0.00707
MOB4	1.33	0.0222
MOSPD1	1.77	0.033
MROH1	1.75	0.0232
MRTO4	2.36	0.0184
MTA2	2.82	0.0311
MTCH2	3.05	0.0264
MTHFD1L	2.51	0.00181
MTHFD2	5.33	0.00066
MTMR2	3.42	0.00276
MTX2	4.15	0.000376
MXRA8	5.3	0.000237
MYADM	5.66	0.000142
MYO1B	4.07	0.000339
MYO1C	1.62	0.00744
MYOF	1.55	0.00274
NAGLU	3.16	0.00442
NAPA	1.43	0.0489
NBAS	2.87	0.00855
NCDN	2.23	0.0187
NCEH1	4.75	0.000408
NCL	2.85	0.00527
NCLN	2.4	0.00547
NDUFA12	2.41	0.00389
NDUFA13	1.52	0.0402
NDUFA8	6.14	8.39e-05
NDUFS1	6.78	0.000889
