ID	X20_vs_X5_ratio	X20_vs_X5_p.adj
ACOX1	2.02	0.0469
ACTL6A	1.22	0.0296
ACTN3	1.21	0.0498
AHSG	1.81	0.0299
ALB	3.2	0.0125
ANKRD46	2.25	0.0204
AP3D1	1.94	0.0497
APLP2	3.33	0.0198
APOB	4.08	0.0351
ATP8B2	3.24	0.00965
BIN1	4.42	0.0203
C3	2.83	0.0162
C9	3.13	0.0191
CBFB	2.54	0.00655
CCAR2	2.92	0.0231
CEP170	1.87	0.0271
CHD4	2.29	0.0145
CHTOP	3.34	0.00639
CIAO2B	2.42	0.0204
CLEC3B	4.03	0.0194
DAP3	2.82	0.0359
DBN1	1.03	0.0204
DENND4C	1.47	0.0162
DNAJC13	2.21	0.0231
EIF3A	1.24	0.0287
EIF5B	3.57	0.0111
FABP4	1.61	0.0384
FAT1	1.24	0.0435
FBL	1.63	0.027
FBXL20	2.59	0.0467
FLOT1	1.67	0.0305
FMNL3	1.84	0.0431
GCN1	1.36	0.0256
GNA11	1.56	0.0334
H1-2	2.43	0.00572
H2AC20	1.79	0.0256
H2AZ2	1.91	0.0317
H2BC18	2.08	0.0216
H3C1	3.47	0.00748
H4C1	2.73	0.0191
HIBCH	2.08	0.0256
HM13	1.48	0.016
HMGCS1	3.95	0.00965
HNRNPL	1.1	0.0256
HYOU1	1.25	0.0467
IGF2R	2.16	0.0145
IPO7	1.02	0.0442
IPO9	1.25	0.0264
ITIH1	4.14	0.00743
ITIH2	3.47	0.0271
ITM2C	1.7	0.0386
ITPR1	1.08	0.0205
IVD	1.95	0.0351
KCMF1	1.07	0.0263
KPNA3	1.74	0.00669
KPNA6	1.21	0.045
KRT77	1.67	0.0225
LAMB1	1.47	0.0289
LNPEP	2.72	0.0339
LTF	3.15	0.0125
MARCHF5	2.8	0.00751
MCM2	2.76	0.0191
MCU	1.17	0.0312
MRC2	1.11	0.0305
MRTO4	1.49	0.0191
MTOR	1.91	0.00677
MYO1B	2.38	0.00655
NCKAP1	1.1	0.0351
NDUFA12	1.49	0.0115
NDUFA8	1.17	0.0154
NDUFS8	2.16	0.0256
NNT	1.04	0.0257
NOP10	3.63	0.00669
NOP56	4.04	0.00415
NT5DC3	1.74	0.0386
NUP214	2.4	0.00488
ORMDL1	2.59	0.0125
PAIP2	2.45	0.0154
PAPSS2	1.63	0.0227
PELP1	2.17	0.0204
PLCB3	2.53	0.00669
PLCG1	2.16	0.0174
PLOD3	1.12	0.0426
POLR2A	2.56	0.045
POLR2B	1.71	0.00669
POLR2I	1.17	0.0305
POTEF	1.82	0.046
PPM1A	2.78	0.0145
PPM1B	1.68	0.0259
PPP6R3	2.35	0.0227
PRPF8	1.68	0.00734
RAB3GAP1	1.26	0.0204
RAP2A	2.95	0.0204
RASA1	1.14	0.0204
RBM25	4.17	0.00415
RBM39	3.05	0.0162
RBM8A	1.3	0.045
RBP4	5.42	0.00965
RPL10	1.14	0.0165
RPL13A	1.41	0.0125
RPL14	2.29	0.0078
RPL17	1.46	0.0221
RPL18	1.66	0.0115
RPL18A	1.24	0.0162
RPL19	2.52	0.00415
RPL21	1.88	0.00488
RPL23A	2.22	0.00718
RPL24	2.42	0.00415
RPL26	1.08	0.0306
RPL27	1.41	0.0183
RPL27A	3.69	0.00639
RPL28	1.45	0.0311
RPL3	1.37	0.015
RPL31	1.61	0.0442
RPL32	3.9	0.00415
RPL34	1.72	0.0195
RPL35	3.27	0.00748
RPL36	3.33	0.00415
RPL36A	2.9	0.0147
RPL37A	1.96	0.00748
RPL4	1.43	0.0204
RPL6	1.85	0.0127
RPL7	1.47	0.0104
RPL7A	2.06	0.00648
RPS24	2.9	0.0111
RPS26	1.63	0.0204
RPS27	1.1	0.0351
RPS27L	1.48	0.0431
RPS6	1.01	0.0177
RPS8	1.52	0.00723
RRBP1	1.83	0.0131
SCRIB	3.18	0.0498
SCYL1	2.48	0.0306
SEC24B	1.54	0.0216
SERPINF1	2.31	0.0162
SF3B1	2.47	0.0305
SF3B3	1.31	0.0368
SFXN1	3.51	0.00655
SLC25A12	2.58	0.0145
SLC25A13	1.64	0.0383
SLC25A20	1.36	0.0162
SLC25A22	1.7	0.0314
SMARCA5	3.46	0.00415
SMARCC2	2.28	0.0225
SNRNP200	2.68	0.00639
SNRPA1	2.45	0.0422
SNRPD1	1.68	0.0251
SNRPD2	1.14	0.0204
SPTAN1	1.33	0.0131
SPTBN1	1.47	0.0115
SRP72	1.13	0.0397
STAM	1.44	0.0305
STIP1	1.55	0.0301
SUPT5H	3.04	0.00415
SVIL	2.36	0.0104
TAOK1	2.03	0.00669
TBC1D15	2.14	0.00415
TBL2	1.6	0.0078
TCEA1	3.94	0.00415
TF	2.98	0.0144
THBS4	3.55	0.0131
THRAP3	2.44	0.00677
TOMM40	2.36	0.00506
TOP2B	3.18	0.0323
TPR	1.39	0.00975
TRA2B	1.27	0.0162
TTR	1.78	0.0393
TXNDC12	2.09	0.0176
U2SURP	2.61	0.0147
UBE2D1	3.9	0.00415
UPF1	1.4	0.0204
USP15	2.3	0.0305
USP7	2.63	0.00415
UTRN	2.01	0.0449
VDAC3	3.98	0.0351
WASHC4	2.71	0.0258
WDR61	1.95	0.0204
XPOT	1.53	0.0168
ZW10	2.83	0.0227
