ID	CS.20_vs_M.Ctr_ratio	CS.20_vs_M.Ctr_p.adj
MYH9	2.66	0.000547
CLTC	1.43	0.00341
MYH10	2.17	0.00231
DYNC1H1	1.32	0.00216
EEF1A2	3.39	0.00878
ALB	5.8	0.000547
MYO1C	1.05	0.0137
SLC25A5	1.09	0.00872
COPA	1.52	0.00402
MYL12A	2.77	0.0103
MYL6	2.56	0.000547
MYL12B	2.01	0.00253
SLC25A4	1.86	0.000716
VDAC1	1.57	0.00955
ARPC1B	1.4	0.00349
MYL9	2.22	0.00182
AHSG	4.24	0.000692
VDAC2	1.64	0.0147
FERMT2	1.61	0.00272
CORO1C	1.01	0.00792
HK1	1.09	0.0201
RPL5	1.14	0.00741
AFP	6.58	0.00376
HBA1	4.95	0.000547
C3	4.85	0.0129
RPL3	1.4	0.00612
RAB10	1.21	0.0145
EIF2S3	2.07	0.000692
PZP	1.69	0.00794
H2BC18	3.37	0.00151
H4C1	3.61	0.000692
STOM	1.23	0.00305
DBN1	1.56	0.00518
RPS16	1.05	0.0168
DDB1	1.04	0.0322
GC	7.09	0.000326
ITIH2	4.65	0.00549
H2AC20	3.12	0.000571
PSMD6	1.25	0.00573
PAFAH1B1	2.03	0.000716
RPL30	1.64	0.00618
PRMT1	3.26	0.000326
S100A6	1.12	0.0346
SPAG9	1.08	0.0149
RAB8A	1.29	0.0156
PAFAH1B1	1.36	0.00292
ABCE1	1.12	0.00413
AP2M1	1.61	0.00162
MTCH2	2.61	0.000571
HIBADH	1.17	0.00528
F2	3.32	0.000347
MYL6B	2.66	0.000571
SNRNP200	1.72	0.00292
EIF4A3	3.73	0.0468
UBR4	1.81	0.00384
SFXN1	1.35	0.0069
SURF4	1.8	0.00173
NCKAP1	1.27	0.00253
DDX17	1.05	0.00679
STIP1	1.81	0.00573
RPS23	1.12	0.0416
GFPT2	2.28	0.0348
TTR	2.94	0.00358
ITPR1	1.45	0.00305
CAD	2.34	0.00139
IMMT	1.25	0.00794
CLEC3B	2.8	0.00457
SLC25A13	1.71	0.0205
SF3B3	1.11	0.0206
RAB3A	1.27	0.0247
SLC25A11	1.25	0.0043
NNT	3.07	0.0374
RPS27	1.23	0.00694
DNAJC13	1.48	0.00878
RBP4	7.09	0.00144
RAB12	1.63	0.0102
SLC25A3	1.08	0.0188
LTF	6.31	0.000976
