ID	CS.T2_vs_N.ctr_ratio	CS.T2_vs_N.ctr_p.adj
VIM	1.88	0.0357
MYH9	2.58	0.0168
ACTA1	1.86	0.036
CLTC	1.85	0.046
MYH10	2.85	0.0261
DYNC1H1	1.8	0.0466
MYO1C	1.81	0.0412
AHNAK	3.32	0.00918
COPA	2.22	0.0313
MYOF	2.87	0.0334
LRP1	2.77	0.0162
AHSG	2.34	0.0357
AP2A2	4.27	0.0339
HBA1	2.61	0.0236
EIF3A	3.33	0.0112
IDH3A	2.65	0.0288
ILK	2.46	0.0237
PPP2CA	2.31	0.034
PALLD	1.99	0.046
DYSF	4.45	0.00651
EIF2S3	1.77	0.041
ECPAS	2.67	0.0149
EIF4G1	3.14	0.0221
PSMC1	1.94	0.0339
GLG1	5.41	0.0141
H4C1	2.28	0.036
ATP2B1	4.63	0.0182
STAT3	2.58	0.0443
TNS1	2.29	0.0249
CYFIP1	2.18	0.0235
RPS14	2.97	0.0349
RAB11A	3.94	0.0333
FLII	3.96	0.02
RPS15	4.53	0.0357
CKAP4	2.55	0.0446
HYOU1	2.99	0.0103
GLS	3	0.0132
BGN	2.58	0.0252
UBAP2L	3.55	0.0103
MPRIP	3.87	0.00735
MYO1E	3.26	0.0315
SQOR	3.69	0.0115
ATP6V0A1	3.71	0.0357
MATR3	5.04	0.0071
VAMP3	5.45	0.0071
UPF1	3.51	0.00768
UBR4	5.36	0.0278
SHMT2	2.06	0.0357
AP3B1	3.52	0.0169
OGDH	3.56	0.00918
UGGT1	2.92	0.0117
SURF4	6.26	0.0186
RAI14	2.59	0.0498
NCKAP1	3.05	0.0099
DDX17	3.48	0.0123
GNAQ	2.48	0.0169
LAMTOR1	4.38	0.0146
ATL3	2.06	0.0364
SEPTIN9	1.65	0.0443
PCK2	1.94	0.0315
DHX9	5.82	0.0238
NOMO2	2.71	0.0359
LONP1	5.11	0.0478
RCN1	2.15	0.0288
HSPH1	3.63	0.0265
PDGFRB	3.96	0.0325
TOMM70	3.2	0.00925
SF3B3	4.45	0.0115
NNT	5.38	0.0252
RPL38	5.4	0.0216
ESYT1	3.61	0.02
GNAS	3.3	0.0132
BAG6	3.15	0.02
HINT1	6.04	0.0113
ARF6	5.63	0.00562
COPG2	2.23	0.027
AP1G1	2.24	0.0409
PI4KA	3.79	0.0115
EIF1	5.21	0.00772
UTRN	3.95	0.0071
RPS24	4.51	0.0132
TJP1	3.97	0.0071
CAPZA1	2.81	0.0476
ITGA5	3.21	0.0115
DYNLL2	3.05	0.0217
P3H1	4.82	0.0315
SEC23IP	3.06	0.0309
RPL32	4.57	0.0132
P4HA2	1.79	0.0364
RPL27	2.57	0.0341
TM9SF2	4.57	0.0168
AP3D1	4.98	0.00562
RPS26	2.87	0.02
UBE2D2	2.42	0.0225
PLXNB2	3.76	0.00768
MYO18A	3.23	0.00925
RPS27L	2.99	0.0231
GOLT1B	4.44	0.0162
LETM1	4.31	0.0252
EIF4G2	3.11	0.00967
PXDN	4.81	0.00562
HSPG2	2.64	0.0339
HNRNPR	4.32	0.017
RPL36	4.48	0.0115
CSNK2A1	5.16	0.00562
MYO6	4.01	0.00768
CACNA2D1	4.66	0.00562
GLIPR2	2.44	0.0252
PRKACA	2.24	0.0288
CNOT1	4.71	0.00962
CKAP5	2.19	0.0382
IDH3G	2.67	0.0225
DIAPH1	3.35	0.0252
AP1M1	5.91	0.00768
SCFD1	3.76	0.0467
KANK2	3.25	0.0357
HUWE1	2.14	0.0315
STT3A	6.17	0.00996
PC	4.73	0.00562
GBF1	4.18	0.00735
WASHC4	3.68	0.0274
SELENOF	6.23	0.00562
CYB5A	5.47	0.00562
WASHC5	2.87	0.0252
SNRPE	3.39	0.0242
SEC24B	3.07	0.0252
RPS25	3.92	0.0476
LAMC1	2.46	0.0181
TNKS1BP1	2.34	0.0443
APOC3	4.52	0.0071
MYO5A	3.57	0.0439
PPME1	2.46	0.0338
FAF2	4.11	0.0213
LRRC47	2.48	0.0309
CAVIN3	2.59	0.021
POSTN	4.71	0.0102
COL5A1	3.41	0.034
FNDC3B	3.54	0.00944
CD44	2.35	0.02
RPL27A	5.52	0.0158
PPM1A	3.32	0.0198
NDUFS1	4.52	0.0132
STT3B	4.75	0.0168
CAPN1	2.4	0.0382
LUM	2.39	0.0307
TRIP12	2.44	0.0431
OXCT1	2.75	0.0133
MTHFD1	4.4	0.0325
ATP13A1	4.17	0.0071
LAMTOR5	3.92	0.0194
USP7	2.55	0.0382
C12orf57	3	0.0298
SNRPD1	4.87	0.00735
NDUFV1	1.77	0.0437
PRPSAP1	1.74	0.0383
DAD1	6.7	0.00562
TXNDC12	3.18	0.0437
OPA1	6.03	0.00562
RPL35	5.46	0.00562
EMC1	2.3	0.0231
DOCK7	3.61	0.00891
RCN2	3.09	0.0261
