ID	T2DM_vs_X5_ratio	T2DM_vs_X5_p.adj
AACS	4.86	0.000398
AAK1	4.57	0.00258
ABCC1	5.91	0.00036
ABCF1	5.43	0.000445
ABCF2	3.15	0.000735
ABCF3	4.02	0.0213
ACAA1	6.26	0.000297
ACAA2	3.05	0.000542
ACAD9	10.2	4.25e-05
ACADS	2.7	0.018
ACADSB	5.49	0.000178
ACAP2	3.31	0.00468
ACAT1	6.3	0.000705
ACAT2	4.79	6.28e-05
ACO1	3.84	8.47e-05
ACOT7	1.9	0.00215
ACOT9	5.39	0.0013
ACOX1	2.96	0.0054
ACP2	5.85	0.00539
ACSL4	4.61	0.00976
ADD1	4.38	0.00132
ADH5	3.78	0.000318
AFG3L2	6.63	6.62e-05
AGFG1	1.77	0.00282
AGL	4.43	0.00336
AGO2	2.6	0.0429
AGPAT1	1.47	0.00591
AGPS	3.05	0.0122
AHNAK	1.38	0.00262
AIDA	1.18	0.0137
AIFM1	1.44	0.0187
AIMP2	1.95	0.00623
AK1	1.04	0.0102
AK3	4.83	3.97e-05
AKR1C1	3.67	0.000235
AKR7A2	1.39	0.00668
AKT1	4.15	0.000455
ALDH1L2	2.27	0.0149
ALDH2	3.32	0.000516
ALDH4A1	4.07	0.00187
ALDH7A1	3.55	0.000124
ALYREF	1.75	0.00769
AMDHD2	2.25	0.00549
ANK2	5.68	0.00591
ANKFY1	2.73	0.00515
ANO6	3.54	0.000879
ANXA11	3.39	0.000204
ANXA3	1.24	0.0194
AP1B1	1.12	0.0357
AP1G1	3.82	0.00959
AP1M1	5.04	0.000138
AP2A1	2.21	0.0499
AP2A2	1.1	0.029
AP3B1	1.54	0.00208
AP3D1	6.94	4.03e-05
AP3M2	2.22	0.0147
APEH	7.34	2.04e-05
APLP2	6.27	8.3e-05
APMAP	7.11	0.000112
APRT	1.56	0.00211
ARCN1	3.84	0.0104
ARFGAP1	2.9	0.0113
ARFGEF1	6.53	0.00016
ARFGEF2	4.61	0.00782
ARHGAP1	5.69	0.0127
ARHGAP35	3.73	0.00106
ARHGEF17	2.73	0.00104
ARHGEF40	1.26	0.00595
ARIH1	4.58	0.00623
ARL1	1.3	0.0374
ARL6IP5	1.77	0.00291
ARL8A	1.44	0.0289
ARMCX3	4.69	0.000318
ASAH1	4.73	0.000442
ASCC3	5.85	3.95e-05
ASL	7.62	9.55e-05
ASPH	1.97	0.0124
ATAD3A	4.61	0.000459
ATG16L1	3.14	0.0142
ATG4B	2.7	0.0421
ATG7	6.6	3.77e-05
ATL3	5.64	0.0247
ATP13A1	5.1	0.00262
ATP2B1	4.05	0.0157
ATP5F1D	4.45	0.00149
ATP5MF	3.19	0.00867
ATP5MK	2.08	0.000694
ATP5PD	7.08	3.77e-05
ATP5PO	3.98	0.000188
ATP6V0A1	3.79	0.000213
ATP6V1B2	2.6	0.00697
ATP6V1D	4.83	0.00965
ATP6V1F	2.18	0.0311
ATP6V1H	3.24	0.000352
ATPAF2	5.73	0.00776
ATXN10	4.73	0.000119
B3GAT3	3.14	0.00025
BAG3	2.32	0.0152
BASP1	5.53	0.000731
BCAP31	7.55	0.000163
BCAS3	2.99	0.00283
BCL10	1.21	0.0342
BDH2	2.28	0.000457
BIRC6	3.59	0.00112
BLMH	6.02	0.000405
BLVRA	1.62	0.00821
BLVRB	3.19	0.000182
BROX	1.27	0.00701
BTF3	2.13	0.00613
BUB3	4.88	0.0119
BZW2	1.3	0.0111
C9orf64	2.66	0.000914
CALD1	1.83	0.00501
CAMK2D	1.87	0.00228
CAPN1	4.67	0.00016
CAPN2	3.65	0.00628
CAPNS1	2.18	0.000455
CARS1	2.84	0.0299
CASK	2.9	0.0445
CASP3	1	0.0267
CAV1	1.02	0.036
CAVIN2	5.95	0.0126
CBFB	1.73	0.00602
CBR1	1.99	0.0013
CBR3	5.17	0.00581
CC2D1B	1.7	0.0371
CCDC47	3.14	0.00187
CCT6B	1.64	0.0445
CD44	1.96	0.00105
CD59	2.5	0.000763
CDC37	3.89	0.00131
CDC42BPA	2.5	0.00105
CDC42BPB	2.39	0.0111
CDK4	2.12	0.00308
CDKN2A	7.89	3.97e-05
CEP170	6.01	7.03e-05
CERT1	5.12	7.25e-05
CHCHD3	2.69	0.0426
CHID1	4.06	0.00212
CHP1	4.53	0.000136
CIAO2B	3.69	0.0021
CIRBP	2.95	0.00862
CLASP1	1.14	0.0319
CLCN7	4.05	0.00155
CLIC1	1.39	0.00948
CLIP1	2.06	0.000646
CLPTM1	4.15	0.000533
CLPTM1L	3.1	0.00755
CLTC	1.07	0.00805
CMPK1	1.54	0.00231
CNDP2	1.67	0.00175
CNOT1	1.3	0.00336
COG3	2.45	0.000744
COG4	4.59	0.000712
COG5	3.58	0.000475
COL5A1	4.24	0.0454
COMMD4	3.45	0.00405
COMMD9	3.94	0.0387
COMT	7.77	2.78e-05
COPB1	1.08	0.0234
COPG1	1.04	0.0219
COPG2	3.62	0.0497
COPS2	2.78	0.0036
COPS7A	1.28	0.00575
COPS7B	4.75	0.000187
COTL1	2.65	0.00564
COX5A	3.05	0.00409
CPNE1	3.98	0.000398
CPNE3	3.41	0.00441
CPT2	3.76	0.00249
CRIP2	2.88	0.015
CRKL	1.12	0.0385
CRTAP	6.09	3.97e-05
CSK	5.5	0.000602
CSRP2	1.39	0.00535
CSTB	6.41	6.74e-05
CTPS2	3.99	0.000298
CTSB	3.53	0.00102
CTSD	3.18	0.00111
CTTN	8.57	0.000849
CTTNBP2NL	2.39	0.0354
CUL1	1.98	0.0256
CUL3	3.05	0.000246
CUL4A	6.14	0.000197
CUL4B	3.92	0.000363
CUL5	4.1	0.00241
CUTA	3.67	0.000593
CYB5R1	7.29	3.47e-05
CYB5R3	9.7	3.77e-05
CYC1	4.93	0.000459
CYP1B1	4.51	0.000165
CYP51A1	3.95	8.06e-05
DAB2	5	0.0087
DAD1	3	0.012
DAP3	2.9	0.00155
DCTN1	2.23	0.00797
DCTN2	8.48	2.03e-05
DCTN4	4.39	0.000426
DCTN6	2.03	0.0111
DDAH2	1.95	0.0242
DDOST	4.87	0.000184
DDT	5.6	0.00168
DDX19A	1.4	0.00597
DDX19B	2.43	0.0331
DENR	2.27	0.00095
DERA	1.65	0.0153
DHX30	2.6	0.0021
DHX36	2.26	0.00247
DIAPH1	2.65	0.0449
DLAT	4.74	4.25e-05
DLD	6.47	0.00379
DNAJB1	2.99	0.0253
DNAJC10	3.62	0.00112
DNAJC25	3.79	0.0283
DNAJC3	2.43	0.0337
DNAJC5	2.15	0.031
DNM1L	1.19	0.00948
DOCK7	3.51	0.00225
DPH6	3.46	0.0111
