ID	T2DM_vs_X5_ratio	T2DM_vs_X5_p.adj
AAK1	3.2	0.00225
ABCC1	2.06	0.000406
ABCD3	2.74	0.00179
ABCF1	2.1	0.000605
ABCF3	2.01	0.00579
ACAA1	4.38	2.18e-05
ACAA2	2.36	0.000193
ACACA	2.38	0.00552
ACAD9	2.83	0.0143
ACADSB	1.29	0.00427
ACADVL	4.83	0.000587
ACAT1	3.64	7.84e-05
ACAT2	4	5.64e-05
ACLY	2.08	0.000215
ACO1	3	5.91e-05
ACOT7	1.77	0.000236
ACOX1	4.45	0.000521
ACSL3	6.22	0.000243
ACTA1	1.17	0.0164
ADD1	4.45	0.000129
ADH5	6.03	9.09e-05
AFG3L2	1.73	0.0144
AGFG1	3.31	7.99e-05
AGL	4.13	6.75e-05
AHSA1	2.99	0.0139
AIFM1	1	0.0186
AIMP2	1.01	0.0424
AK3	2.29	0.000198
AKR1C1	3.94	0.000157
ALDH1L2	5.28	0.00114
AMDHD2	2.51	0.012
ANK2	5.42	0.000826
ANKFY1	3.98	0.00156
ANO10	2.82	6.4e-05
ANO6	1.75	0.00382
ANXA11	1.16	0.00232
AP3B1	1.05	0.00259
AP3D1	3.21	0.00175
AP3M2	1.72	0.00142
APEH	1.11	0.00301
APEX1	1.03	0.0226
APLP2	7.44	0.000129
APMAP	2.24	0.000293
APOB	3.71	0.0105
APP	1.69	0.000746
ARF4	1.25	0.0052
ARFGEF1	5.45	0.00026
ARFGEF2	2.37	0.0172
ARHGAP1	1.69	0.00132
ARHGAP35	3.73	0.000331
ARHGEF40	1.15	0.0463
ARL6IP5	2.05	0.000383
ARMCX3	2.86	0.00154
ASAH1	7.47	0.00147
ASCC3	2.84	5.91e-05
ASPH	4.9	0.000131
ATAD3A	3.02	0.00097
ATAD3B	3.2	0.00225
ATG7	3.6	9.15e-05
ATL3	1.23	0.00104
ATP13A1	1.71	0.000826
ATP5F1C	1.69	0.00106
ATP5MF	4.73	0.000145
ATP5PD	4.56	2.24e-05
ATP6V0A1	1.39	0.000799
ATP6V1F	1.62	0.000826
ATP6V1G1	1.22	0.0408
ATP8B2	2.42	0.00248
BAG3	2.05	0.00512
BCAP31	4.04	9.22e-05
BCAR1	3.13	0.0144
BDH2	1.96	0.000201
BTF3	1.32	0.0179
C9orf64	2.73	0.0159
CACNA2D1	1.73	0.00336
CALU	1.04	0.0132
CANX	1.37	0.000624
CAPN1	3.55	7.27e-05
CAPN2	1.12	0.00192
CAPNS1	1.58	0.000359
CBFB	3.22	0.000159
CC2D1B	2.74	0.0278
CCAR2	4.22	0.000874
CCT6B	1.43	0.0446
CD109	3.27	0.0129
CD44	2.89	0.000172
CD59	1.93	0.000571
CDC42BPA	2.69	0.00451
CDC42BPB	1.79	0.00587
CDK4	1.17	0.00318
CDKN2A	5.47	0.000193
CEP170	6.34	5.38e-05
CHD4	1.92	0.00307
CHP1	1.25	0.00348
CHTOP	2.07	0.00201
CIAO2B	2.44	0.00282
CKAP4	1.09	0.00225
CKAP5	2.89	0.00916
CLASP1	2.54	0.0163
CLASP2	2.83	7e-04
CLCN7	1.27	0.00254
CLIC2	1.36	0.0288
CLIP1	4.28	0.0219
CLPTM1L	1.36	0.00622
CLUH	1.51	0.0201
COMMD3	1.24	0.0142
COMMD4	5.06	0.000662
COMMD9	1.8	0.000687
COMT	7.1	4.28e-05
COPG2	2.75	0.000415
COPS7B	2.12	0.00996
COTL1	3.54	0.000249
CPD	2.51	0.00104
CPNE3	2.11	0.000687
CPT2	1.67	0.018
CRIP2	1.95	0.000201
CRTAP	2.26	0.000565
CSTB	4.89	5.92e-05
CTNNB1	1.56	0.00103
CTPS2	1.25	0.0287
CTSB	3.8	3.68e-05
CTSD	2.78	0.000775
CTTN	1.87	0.000621
CUL4B	4.16	0.00338
CUTA	4.54	7.56e-05
CYB5R1	1.45	0.000847
CYB5R3	3.99	4.4e-05
DAB2	4.19	0.0199
