ID	T2DM_vs_X5_ratio	T2DM_vs_X5_p.adj
ATP2A2	4.14	0.0342
SND1	4.66	0.00998
PGK1	2.25	0.0466
GARS1	3.06	0.0171
HDLBP	3.15	0.0391
SLC25A5	2.84	0.0142
MYOF	6.23	0.000626
GPI	4.6	0.017
IQGAP1	3.44	0.0105
TXNRD1	3.2	0.0104
GAPDH	1.95	0.0313
PLEC	3.56	0.0146
PPIB	2.01	0.0342
UCHL1	5.79	0.00408
TUBB3	6.87	0.00656
CDC37	3.24	0.0104
SQSTM1	5.01	0.00998
RPN1	4.18	0.00996
UBA1	4.12	0.0172
RAB10	2.42	0.0144
ANXA6	2.61	0.0406
CAND1	4.38	0.00308
CNDP2	3.33	0.00397
COPB1	3.13	0.0158
RAD23B	3.74	0.0205
FSCN1	4.76	0.00183
TCP1	3.95	0.0461
PSMA4	1.78	0.0293
COPA	3.71	0.00408
PKM	1.5	0.0358
PSMC2	2.49	0.024
HSP90AA1	2.17	0.0179
AP2B1	3.5	0.0104
CALR	2.76	0.0478
NAP1L1	2.99	0.0135
OAT	2.6	0.0146
ARF4	4.32	0.00544
CTTN	3.76	0.0106
SPTBN1	3.56	0.0146
ZYX	4.33	0.0104
PCBP2	3.04	0.0434
YWHAQ	2.51	0.029
CCT6A	3.68	0.00599
PSMC5	2.67	0.0478
TUBA1C	5.15	0.000459
MAP1B	5.22	0.00532
ATP6V1A	2.03	0.0146
CAP1	1.58	0.0478
PRKAR1A	3.42	0.0235
COPG1	4.4	0.000944
PPP2R1A	3.92	0.00656
HSPB1	2.22	0.024
OTUB1	2.15	0.024
CAPZA1	2.33	0.0237
PNP	3.53	0.0158
DDX3X	2.62	0.0261
RAB14	1.73	0.0478
STIP1	2.59	0.0326
