ID	CS.T2DM_vs_M.Ctr_ratio	CS.T2DM_vs_M.Ctr_p.adj
MYH9	1.41	0.000456
TUBB	1.21	0.000577
CLTC	1.65	0.000245
POTEF	2.07	0.00271
EEF1A2	3.5	0.00145
MYL12A	3.12	0.00119
EZR	3.36	1.22e-05
MYOF	1.47	0.000276
SLC25A6	10.6	6.91e-06
YWHAQ	1.6	0.000395
MYH14	2.74	0.00538
RAB1B	1.72	0.00314
VDAC1	1.64	0.00152
VDAC2	1.37	0.00692
CAPN2	1.58	0.00022
HK1	2.19	0.000249
ARF4	2.19	0.000122
TXNRD1	1.87	0.000102
GSTP1	2.82	4.67e-05
GCN1	1.34	0.000272
ARL8A	1.06	0.0343
MAP1B	2.67	4.32e-05
RAB10	1.54	0.00109
PZP	2.02	0.000688
PHB2	1.01	0.0146
TGM2	2.18	0.000275
CANX	1.25	0.000224
CAPNS1	1.58	0.000231
DBN1	1.29	0.00194
PHB1	1.37	0.00559
LDHB	1.16	0.00101
ACLY	1.74	9.96e-05
PYGB	1.01	0.00193
VARS1	1.22	0.00119
RTN4	3.55	7.84e-06
GC	1.07	0.0363
CKAP4	1.21	0.000459
MACF1	1.82	0.00014
MVP	3.16	1.22e-05
HYOU1	1.58	0.000199
H2AC20	1.46	0.00115
PAFAH1B1	3.4	1.18e-05
GPI	1.02	0.000591
PRMT1	1.35	0.000398
CTSD	3.25	2.06e-05
PRDX2	1.58	0.000137
RAB8A	2.53	0.000189
CMPK1	1.39	0.000367
CYB5R1	1.56	0.000148
RAB8B	1.98	0.00808
PEBP1	1.84	0.000152
RHOG	1.32	0.00095
ATP6V0A1	1.68	0.000701
ESD	2.03	0.00106
FSCN1	1.82	0.000602
EHD1	1.32	0.00229
MTCH2	2.76	3.99e-05
F2	1.33	0.000761
BTF3	1.15	0.0252
MMP14	1.44	0.000196
CTNNB1	1.22	0.00104
SFXN3	1.34	0.000884
UBR4	2.26	0.000208
AP3B1	1.12	0.000765
EEA1	1.57	0.000249
IARS1	1.66	0.000337
OGDH	1.49	0.000137
HBE1	6.72	0.000184
SFXN1	5.06	7.16e-06
UGGT1	1.46	0.000615
PARK7	1.34	0.00176
SURF4	1.77	0.000208
GANAB	1.88	9.89e-05
NCKAP1	1.63	0.000118
DDX17	1.63	0.000175
GFPT2	3.03	0.0035
GNAI1	3.13	0.0377
ATL3	1.51	0.00012
RALA	1.57	0.000313
SEPTIN9	1.22	0.000365
NOMO2	2.39	0.000143
QARS1	2.53	0.00038
IMMT	1.39	0.000942
FASN	3.24	1.22e-05
SEC24D	1.17	0.00073
SLC25A13	1.49	0.00965
RAB3A	2.06	0.000839
SLC25A11	2.57	3.6e-05
RRBP1	1.51	0.00118
NNT	3.76	0.00569
ESYT1	1.47	0.000285
APP	1.39	0.000394
ZYX	2.01	3.65e-05
TUFM	1.21	0.002
HINT1	2.08	0.000359
INA	4.97	0.000258
DNAJC13	1.41	0.00206
COPG2	2.09	0.000234
RBP4	2.4	0.0146
RAB12	2.41	0.000359
COL6A1	3.86	0.00202
ACO1	2.71	1.19e-05
HRAS	1.2	0.0065
PGLS	1.98	0.002
NAMPT	1.22	0.00248
HSD17B10	3.14	1.2e-05
PSMD8	1.28	0.000285
SEC24C	1.15	0.00582
RNH1	3.75	1.2e-05
RAB43	3.51	6.77e-06
PRAF2	1.02	0.00841
VAMP2	3.88	0.000116
FH	1.04	0.0105
UTRN	1.57	0.000335
PRPF8	2.17	0.000899
TJP1	1.8	0.000119
DSP	2.9	0.00509
COL6A3	2.5	8.83e-05
RPL37A	1.96	0.000736
RALB	1.8	9.45e-05
CYB5R3	4.1	7.97e-06
SNX3	1.61	0.000778
KPNA6	3.09	0.000168
KIF1B	3.33	8.88e-05
AP3D1	2.49	7.54e-05
GNPDA1	3.12	2.7e-05
UBE2D2	1.62	0.000146
TXNDC5	1.75	0.000133
EEF1D	1.84	0.00022
ARL1	2.99	0.000466
RPS27L	3.8	9.05e-05
PRKAR2A	1.02	0.00208
PLBD2	1.48	0.000402
PFKP	3.53	1.7e-05
MAP2K2	2.84	4e-05
PLAA	1.57	0.00128
HADHA	2.09	0.000104
NUTF2	2.31	6.26e-05
PXDN	1.62	0.000253
HSPG2	1.22	0.00257
ATP6V1G1	1.55	0.0042
AIFM1	1.28	0.000414
SEC61A1	1.75	0.000243
ARPC1A	1.14	0.00278
TIMP3	1.01	0.00186
MYO6	3.41	0.000132
HNRNPC	1.64	7.41e-05
CLIP1	1.28	0.00218
EIF1B	2.77	0.000368
RRAGA	4.26	2.14e-05
ARHGAP1	1.54	0.000171
PRKACA	2.16	0.00012
GNPDA2	4.47	0.0307
CD59	1.94	0.000219
GNPNAT1	1	0.0385
AP1S1	1.56	0.000508
CLIC2	1.34	0.0279
DST	2.85	0.000113
ITGAV	1.33	0.000456
CTSB	4.04	7.95e-06
GNA11	4.32	1.69e-05
HUWE1	2.9	8.76e-05
SQSTM1	4.87	3.22e-06
H2AZ2	2.24	0.00344
GLO1	1.08	0.00116
CLPTM1	1.44	0.00023
RNPEP	1.13	0.00078
ECHS1	3.22	2.31e-05
PRPS1	3.39	7.97e-06
KRAS	3.33	0.0028
GBF1	2.83	2.94e-05
WASHC4	1.69	0.00232
APLP2	5.04	2.23e-05
CHP1	1.23	0.00216
ATP6V1F	1.43	0.000603
F5	3.06	0.00713
PPA1	2.61	1.31e-05
