ID	CS.T2DM_vs_N.ctr_ratio	CS.T2DM_vs_N.ctr_p.adj
ACTG1	2.23	0.0287
MYH9	1.51	0.0379
ACTA1	3.3	0.00283
TUBB	3.18	0.00278
CLTC	2.26	0.013
FLNC	1.51	0.0397
TUBB3	1.52	0.0344
DYNC1H1	1.49	0.0462
PLEC	1.79	0.0206
AHNAK	3.31	0.00278
COPA	1.75	0.033
MYOF	4.28	0.0044
SLC25A6	9.93	0.000642
COPG1	1.72	0.0321
LRP1	3.24	0.00362
ITGB1	1.52	0.033
ATP6V1B2	1.96	0.0137
AP2A1	1.84	0.0286
TLN2	1.93	0.0363
AP2A2	3.9	0.0241
HK1	1.7	0.023
ALDOC	2.54	0.0252
ARF4	4.24	0.00515
TXNRD1	3.61	0.0144
EIF3A	2.88	0.00597
PDIA6	1.92	0.0169
GCN1	3.78	0.0375
CAMK2D	1.5	0.0347
MAP1B	3.63	0.00555
PPP2CA	1.73	0.0441
DYSF	3.07	0.00425
ECPAS	2.84	0.00453
DCTN1	2.8	0.0435
EIF4G1	3.72	0.00504
PSMC1	1.67	0.0289
GLG1	4.94	0.00722
CANX	3.36	0.0159
RPN1	3.32	0.0474
ATP2B1	3.56	0.0175
ACLY	2.97	0.029
PYGB	2.07	0.03
CALU	2.22	0.011
CYFIP1	1.93	0.0148
HNRNPH2	2.95	0.0325
VARS1	3.41	0.0209
RAB11A	3.88	0.0177
FLII	3.89	0.00841
RTN4	2.87	0.0088
RPS15	3.87	0.0317
CKAP4	4.17	0.00463
MACF1	3.58	0.00207
MVP	6.27	0.00969
HYOU1	5.2	0.000711
PAFAH1B1	2.2	0.0251
OAT	2.76	0.0348
USO1	2.89	0.0223
GLS	4.56	0.00134
CTSD	4.49	0.0463
UBAP2L	3.65	0.00313
MPRIP	3.84	0.00188
RAB8B	2.7	0.0156
SQOR	5.32	0.00133
RHOG	3.24	0.0331
ATP6V0A1	4.61	0.009
EHD1	3.43	0.00441
MATR3	5.61	0.00124
VAMP3	5.32	0.00167
UPF1	3.66	0.00194
EFTUD2	4.41	0.0429
UBR4	6	0.00881
AP3B1	4.91	0.00226
EEA1	3.9	0.00955
CTTN	2.69	0.0499
ATP6V0D1	1.52	0.0365
IARS1	3.15	0.0188
OGDH	5.74	0.000711
HBE1	4.75	0.0181
SFXN1	5.5	0.009
UGGT1	4.83	0.000901
SURF4	6.43	0.00663
GANAB	6.1	0.0418
RAI14	3.27	0.0127
NCKAP1	3.6	0.00194
DDX17	4.24	0.00235
LAMTOR1	4.26	0.00588
ATL3	3.78	0.00251
SEPTIN9	3.24	0.00251
DHX9	6.03	0.00902
NOMO2	4.56	0.00324
FASN	4.78	0.0107
LONP1	6.22	0.0139
RCN1	3.39	0.00287
HSPH1	4.58	0.00539
TOMM70	3.08	0.00319
SF3B3	2.58	0.0252
RPLP1	4.22	0.0299
RRBP1	3.95	0.00444
NNT	6.27	0.00672
