Gene.ID	log2FC
1810046K07Rik	4.76548535328285
Acpp	2.03084856466899
Arhgef16	2.71076647539038
Arhgef9	2.93189730598426
Bex4	2.56012127979221
Camk2b	2.10952720603237
Ell3	2.65164740665644
Fam83f	2.14730687513812
Fes	2.02685134218047
Fmo3	762.643679150557
Izumo4	2.06386847693261
Mageh1	2.34653357577038
Mr1	2.07207215402823
Nsun6	2.40091523788165
Ptgds	3.87796240256933
Rgs16	9.29770458633566
Rwdd3	2.32817015935842
Slc43a1	2.05193900004045
Slc8b1	2.39329753839224
Sult2a1	124.295043665847
Sult2a5	53.8112122247868
Tstd1	2.24148744763269
Ube2cbp	2.10706070761033
Zbtb16	2.30573975416682
Zfp960	2.20550395050141
Acnat2	0.364260037889903
Bcl3	0.455505909343365
Camk2n2	0.155342858668494
Dio1	0.291601211797813
Hsp90aa1	0.46195738265933
Hspb1	0.175205587341656
Hsph1	0.322928294452931
Insc	0.493337184653296
Mal2	0.485169046210354
Moxd1	0.00228673814282565
Mup11	0.0237519827454129
Mup17	0.00124674602647164
Mup19	0.00406726951356007
Mup6	0.038076336721429
Mup7	0.0390785455570361
P2ry1	0.382895751467262
Rad51c	0.0543420338120002
Slc16a13	0.122955685729301
Slc25a45	0.457134197199044
Slc34a2	0.367279004005339
Sult5a1	0.379053081546484
Tppp	0.495170146283468
Tsacc	0.24832446027032
Tuba1c	0.442836665157226
Zbtb9	0.36845879796284
Zfp428	0.404807520890994
Zfp839	0.472178793532873
