SampleName	Day
D11.20.Biopsy_19	1
D11.20.Biopsy_20	1
D11.20.Biopsy_21	1
D11.20.Biopsy_22	3
D11.20.Biopsy_23	3
D11.20.Biopsy_24	3
D11.20.Biopsy_25	3
D11.20.Biopsy_27	3
D11.20.Biopsy_28	3
D11.20.Biopsy_29	3
D12.20.Biopsy_34	1
D12.20.Biopsy_35	1
D12.20.Biopsy_36	1
D12.20.Biopsy_37	2
D12.20.Biopsy_38	2
D12.20.Biopsy_39	2
D12.20.Biopsy_40	2
D12.20.Biopsy_41	2
D12.20.Biopsy_42	2
D12.20.Biopsy_43	2
D12.20.Biopsy_44	2
D12.20.Biopsy_45	2
D13.20.Biopsy_50	2
D13.20.Biopsy_51	2
D13.20.Biopsy_52	2
D13.20.Biopsy_53	4
D13.20.Biopsy_54	4
D13.20.Biopsy_55	4
D13.20.Biopsy_56	4
D13.20.Biopsy_57	4
D13.20.Biopsy_58	4
D13.20.Biopsy_59	4
D13.20.Biopsy_60	4
D13.20.Biopsy_61	4
D14.20.Biopsy_66	1
D14.20.Biopsy_67	1
D14.20.Biopsy_68	1
D14.20.Biopsy_69	4
D14.20.Biopsy_70	4
D14.20.Biopsy_71	4
D14.20.Biopsy_72	4
D14.20.Biopsy_73	4
D14.20.Biopsy_74	4
D14.20.Biopsy_75	4
D14.20.Biopsy_76	4
D14.20.Biopsy_77	4
D15.20.Biopsy_82	3
D15.20.Biopsy_83	3
D15.20.Biopsy_84	3
D15.20.Biopsy_85	7
D15.20.Biopsy_86	7
D15.20.Biopsy_87	7
D15.20.Biopsy_88	7
D15.20.Biopsy_89	7
D15.20.Biopsy_90	7
D15.20.Biopsy_91	7
D15.20.Biopsy_92	7
D15.20.Biopsy_93	7
D17.20.Biopsy_100	7
D17.20.Biopsy_101	14
D17.20.Biopsy_102	14
D17.20.Biopsy_103	14
D17.20.Biopsy_123	42
D17.20.Biopsy_124	42
D17.20.Biopsy_125	42
D17.20.Biopsy_126	42
D17.20.Biopsy_127	42
D17.20.Biopsy_128	42
D17.20.Biopsy_129	42
D17.20.Biopsy_98	7
D17.20.Biopsy_99	7
D17.21.Biopsy_214	2
D17.21.Biopsy_215	2
D17.21.Biopsy_216	2
D17.21.Biopsy_217	4
D17.21.Biopsy_218	4
D17.21.Biopsy_219	4
