SampleName	Treatment	Day	WoundZone
D11.20.Biopsy_19	NoTx	1	Center
D11.20.Biopsy_20	NoTx	1	Intermediate
D11.20.Biopsy_21	NoTx	1	Edge
D11.20.Biopsy_22	NoTx	3	Center
D11.20.Biopsy_23	NoTx	3	Intermediate
D11.20.Biopsy_24	NoTx	3	Intermediate
D11.20.Biopsy_25	NoTx	3	Intermediate
D11.20.Biopsy_27	NoTx	3	Edge
D11.20.Biopsy_28	NoTx	3	Edge
D11.20.Biopsy_29	NoTx	3	Intermediate
D12.20.Biopsy_34	NoTx	1	Center
D12.20.Biopsy_35	NoTx	1	Intermediate
D12.20.Biopsy_36	NoTx	1	Edge
D12.20.Biopsy_37	NoTx	2	Center
D12.20.Biopsy_38	NoTx	2	Intermediate
D12.20.Biopsy_39	NoTx	2	Intermediate
D12.20.Biopsy_40	NoTx	2	Intermediate
D12.20.Biopsy_41	NoTx	2	Intermediate
D12.20.Biopsy_42	NoTx	2	Edge
D12.20.Biopsy_43	NoTx	2	Edge
D12.20.Biopsy_44	NoTx	2	Edge
D12.20.Biopsy_45	NoTx	2	Edge
D13.20.Biopsy_50	NoTx	2	Center
D13.20.Biopsy_51	NoTx	2	Intermediate
D13.20.Biopsy_52	NoTx	2	Edge
D13.20.Biopsy_53	NoTx	4	Center
D13.20.Biopsy_54	NoTx	4	Intermediate
D13.20.Biopsy_55	NoTx	4	Intermediate
D13.20.Biopsy_56	NoTx	4	Intermediate
D13.20.Biopsy_57	NoTx	4	Intermediate
D13.20.Biopsy_58	NoTx	4	Edge
D13.20.Biopsy_59	NoTx	4	Edge
D13.20.Biopsy_60	NoTx	4	Edge
D13.20.Biopsy_61	NoTx	4	Edge
D14.20.Biopsy_66	NoTx	1	Center
D14.20.Biopsy_67	NoTx	1	Intermediate
D14.20.Biopsy_68	NoTx	1	Edge
D14.20.Biopsy_69	NoTx	4	Center
D14.20.Biopsy_70	NoTx	4	Intermediate
D14.20.Biopsy_71	NoTx	4	Intermediate
D14.20.Biopsy_72	NoTx	4	Intermediate
D14.20.Biopsy_73	NoTx	4	Intermediate
D14.20.Biopsy_74	NoTx	4	Edge
D14.20.Biopsy_75	NoTx	4	Edge
D14.20.Biopsy_76	NoTx	4	Edge
D14.20.Biopsy_77	NoTx	4	Edge
D15.20.Biopsy_82	NoTx	3	Center
D15.20.Biopsy_83	NoTx	3	Intermediate
D15.20.Biopsy_84	NoTx	3	Edge
D15.20.Biopsy_85	NoTx	7	Center
D15.20.Biopsy_86	NoTx	7	Intermediate
D15.20.Biopsy_87	NoTx	7	Intermediate
D15.20.Biopsy_88	NoTx	7	Intermediate
D15.20.Biopsy_89	NoTx	7	Intermediate
D15.20.Biopsy_90	NoTx	7	Edge
D15.20.Biopsy_91	NoTx	7	Edge
D15.20.Biopsy_92	NoTx	7	Edge
D15.20.Biopsy_93	NoTx	7	Edge
D17.20.Biopsy_100	NoTx	7	Edge
D17.20.Biopsy_101	NoTx	14	Center
D17.20.Biopsy_102	NoTx	14	Intermediate
D17.20.Biopsy_103	NoTx	14	Edge
D17.20.Biopsy_123	NoTx	42	Center
D17.20.Biopsy_124	NoTx	42	Intermediate
D17.20.Biopsy_125	NoTx	42	Intermediate
D17.20.Biopsy_126	NoTx	42	Edge
D17.20.Biopsy_127	NoTx	42	Edge
D17.20.Biopsy_128	NoTx	42	Edge
D17.20.Biopsy_129	NoTx	42	Edge
D17.20.Biopsy_98	NoTx	7	Center
D17.20.Biopsy_99	NoTx	7	Intermediate
D17.21.Biopsy_214	NoTx	2	Center
D17.21.Biopsy_215	NoTx	2	Intermediate
D17.21.Biopsy_216	NoTx	2	Edge
D17.21.Biopsy_217	NoTx	4	Center
D17.21.Biopsy_218	NoTx	4	Intermediate
D17.21.Biopsy_219	NoTx	4	Edge
