Gene.ID	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
Ak9	0	0.991481848	2.999768012	0.706821989	0.478743016	0.768422125	72.57682702	1.873257742	0	4.439511078	0	0.439172402	0.550984896	0	0	0
Ampd1	4.153710449	22.30834157	87.42181063	2.827287958	15.79851954	1.921055311	0.569945241	0.936628871	0.642896251	1.109877769	7.509822891	1.317517205	3.305909378	0	2.634203789	1.061353948
Armc4	0	0	0.857076575	0	0.478743016	0.384211062	37.04644068	0	0.642896251	0.554938885	0	0.439172402	0	0	0	0
C2H20orf96	0.755220082	0.495740924	4.285382874	0	0	0	48.44534551	29.035495	1.285792502	1.109877769	0	4.830896418	0	0	0	0
Ccdc40	0	0	3.428306299	2.120465968	3.82994413	0.384211062	150.8930026	0.936628871	1.285792502	4.439511078	0	5.709241221	0	6.806510763	2.634203789	0
Clec3a	32.85207355	143.7648679	83.62067602	0	0	0	1.709835724	0	9.000547512	1.109877769	0	0.878344803	0	0	3.512271719	0
Daw1	0	0	2.142691437	0	0	0.384211062	32.48687875	0	0	0.554938885	0	0.439172402	0	0	0	0
Dnai3	0	0	0	1.767054973	0	2.689477436	132.7972412	0	0	1.109877769	1.877455723	6.148413623	0	3.403255382	0.87806793	1.061353948
Enkur	3.398490368	0	0	0	0	0.384211062	35.33660496	12.17617532	0.642896251	0	0	0.878344803	0	1.701627691	0	0
Iqca1	0.755220082	0	0	0.353410995	2.872458097	0.768422125	158.4447771	22.4790929	0	4.994449962	0	4.391724016	8.815758341	0	0	0
Itk	0.755220082	3.470186467	5.999536024	2.827287958	5.266173179	0	1.709835724	51.5145879	0.642896251	0	2.816183584	1.756689606	1.101969793	0	0	0
Kiaa2012	0	0.991481848	5.142459449	1.060232984	4.308687146	0	51.86501695	7.493030968	1.285792502	2.219755539	0	0	0	3.403255382	0	0
LOC117704160	73.9851353	41.53813201	447.9939256	571.8225235	12.44731842	5.73627116	9.11912386	85.23322726	65.52398589	2.774694424	8.199787869	2.195862008	21.40025337	31.2418844	26.66692303	21.57732577
LOC117706234	0	0	0	0	0	0.391895284	6.269397654	32.78201048	0	0	0.469363931	0	0	0	0	0
LOC117709295	29.83119323	22.8040825	248.3893621	322.1659287	4.308687146	1.536844249	7.979233377	127.9997015	33.43060504	0	4.712413864	0.439172402	18.11638339	47.57751023	12.70564294	5.062658334
LOC117710155	434.5083218	2410.768283	21203.6245	775.6593829	1872.751718	468.218811	381.5384428	5024.714172	409.4156194	216.2374858	642.5451402	73.15294694	525.1547244	594.0892757	197.8550466	660.7034464
LOC117711926	0	0	0	0	0	0	0	48.62977098	0	0	0	0.878344803	0	0	0	0
LOC117712226	0	0	498.6257243	0	0	0	0	0.07493031	0	0	0.028161836	0.004391724	0	0	0.087806793	0
LOC117718638	0	0	0	3.35033623	0.512255027	0	1.709835724	31.04924707	0	0	0	0	0.58404399	0	0	0
LOC117720167	0	0	6.428074311	0	0	0	0	110.5222068	0	0	0.469363931	0	0	3.403255382	0	0
LOC117722287	0.505997455	0	16.74299089	34.73323256	0	1.801949882	0	0	0	0	0	0	0	0	5.259626899	0
LOC117722609	3.183252644	0	0	0	1.139408379	0	0	92.60449647	5.53533672	0	0	0	0	0	0	0
LOC117724267	4.504887787	0	2.134120671	7.156572643	0	7.422957723	0	107.5999247	0	3.612652139	0	6.425092236	0	0	2.801036696	0
Lrrc23	0.755220082	6.44463201	1.285614862	3.180698952	0.957486032	0.384211062	97.81970175	14.98606194	1.928688753	4.994449962	1.408091792	3.952551615	0.550984896	0	2.634203789	0
Map3k19	0	0	0.428538287	0.706821989	0.478743016	0	160.1546128	0	0	9.43396104	0	0.439172402	0	0	0	0
Mybphl	0.377610041	0	68.99466427	0	0	0	0	0	0.642896251	0	0	0.439172402	0	0	0	0
Myl1	11.70591127	45.11242407	252.7775942	6.361397904	33.99075415	11.14212081	13.67868579	88.04311387	7.71475501	3.329633308	20.18264902	0.878344803	20.93742606	6.806510763	6.146475508	7.429477639
Neb	38.13861412	142.6990249	1366.998568	38.95649394	123.5156982	28.43161861	26.78742634	294.1014655	16.07240627	17.75804431	50.22194058	9.275321122	26.42523563	52.75045841	15.80522274	47.76092768
