Gene.ID	GCCK1431_S72_5mM	GCCK1431_S73_10mM
AC009950.1	62.6538763	0
AC069368.3	38.70056115	3.366038892
AL021546.6	20.34102897	0
AL022067.1	38.82330874	6.378399784
AL513122.1	207.7064553	44.52684056
AL513523.2	23.19929425	0
AP000275.65	28.07412705	4.195352822
ARL2-SNX15	36.14039716	0
CORO7-PAM16	67.94955798	0
CTC-360G5.8	15.9659542	0
CTC-435M10.3	89.69341654	33.08718664
CXCR5	27.17982319	0
DHRS3	577.790435	282.9423996
ELAC1	71.89501619	24.45256514
FAM156B	68.67727583	12.08603095
FAM47E-STBD1	82.9773699	21.13530942
GP1BB	15.5012669	0
LA16c-306E5.2	105.0456328	12.04944357
MALL	126.7105822	54.40543296
MMP9	135.899116	56.1006482
POPDC2	18.41213829	0
PYURF	54.95584896	0
RGPD5	211.8184995	66.71098819
RP11-134F2.8	31.35324121	0
RP11-293I14.2	14.18611417	0
RP11-321N4.5	14.25625565	0
RP11-426L16.10	14.57189231	0
RP11-439C15.6	86.7562421	14.2812737
RP11-618P17.4	18.91189633	0
RP13-1032I1.10	35.0707396	0
RPS10-NUDT3	211.8448026	67.94276329
TMEM110-MUSTN1	29.23146146	4.512443442
VGF	112.2263667	46.34401373
XXbac-BPG246D15.9	24.09359811	0
