Gene.ID	GCCK1431_S72_5mM	GCCK1431_S75_SMCS
ABHD14A-ACY1	45.53128952	7.943596614
ABI3BP	50515.94493	13707.79578
ABTB2	604.5611887	201.3160705
AC069368.3	38.84327637	0
AC129492.1	23.76004672	1.417600663
ADAMDEC1	90.64017822	21.80924097
ADAMTSL1	1906.97255	278.4872308
ADAP1	508.9138006	84.64501946
ADCY1	82.72016265	10.06580352
ADCY4	152.8299005	10.06580352
ADCY5	96.80019033	5.032901762
ADGRB1	410.0808063	98.14158436
ADGRD1	285.1205606	21.69180659
ADORA2A	58.0801142	4.194084802
ADPRHL1	109.9738162	24.69477131
ADRA2C	87.10257126	0.83881696
AFF2	49.2800969	5.871718722
AGAP14	12.2584241	0
AGT	100.3201973	2.516450881
AHNAK2	12850.77087	2175.991853
AIFM3	17.60003461	0.83881696
AKR1B1	21395.08607	5931.937392
AKR1C1	5817.497839	563.1984835
AKR1C2	1105.053373	259.0350655
AL021546.6	20.41604014	0
AL513122.1	208.4724099	13.21136712
ALDH4A1	284.5221594	88.07578083
ALOX15B	58.0801142	0
AMIGO3	20.78564087	0
ANGPTL1	78.320154	19.29279009
ANGPTL2	676.7213306	182.0232804
ANGPTL4	1660.607265	421.0861141
ANKFN1	23.74244668	0
ANKRD33	72.16014188	1.677633921
ANKRD9	608.292396	167.2097729
ANO4	16.72003288	0
AP000769.1	4193.058644	504.9678101
AP003419.11	49.94889821	0
APBB1IP	338.8006662	8.388169603
APLP1	612.2964039	204.6713383
APOL1	627.1684332	124.0526403
ARHGAP20	513.0410088	40.26321409
ARHGDIG	35.42006964	5.871718722
ARHGEF4	289.9341701	47.38477009
ARL2-SNX15	36.27367132	0
ARMCX6	497.2009776	142.6995413
ASTN1	48.40009517	7.549352643
ATF5	2092.881715	699.9172599
ATP1A3	93.23618332	12.5822544
ATP6V0D2	457.6008997	27.68095969
ATP8A2	314.7590189	63.75008898
ATRNL1	30.80006056	4.194084802
AUTS2	220.8804343	34.39149537
B3GALT4	145.2002855	39.42439713
BANK1	41.36008132	5.871718722
BARX1	25.52005018	1.677633921
BBS5	1042.69645	275.4758779
BDH1	271.9205347	78.81524159
BEGAIN	161.0403166	7.549352643
BMP7	176.2291465	32.42866369
BNC1	375.7607388	66.26653986
BRINP1	73.92014534	8.388169603
C10orf10	236.7204654	29.35859361
C11orf96	175.1203443	33.55267841
C15orf48	447.7536804	149.3094189
C15orf59	952.1618722	172.7962938
C16orf89	49.2800969	1.677633921
C17orf96	301.8405935	83.88169603
C19orf24	1112.524587	369.0794625
C1QTNF5	1074.763713	160.2140394
C1QTNF9B	49.2800969	8.631426522
C21orf2	1009.361985	343.831072
CACNA1H	134.6402647	2.516450881
CACNA2D2	42.24008305	5.032901762
CADM3	651.1572803	112.4014727
CALML6	22.00004326	0.83881696
CAPG	278.9605485	37.74676321
CASKIN1	62.84972358	13.25330797
CBSL	91.66098023	3.732735473
CCDC129	44.00008651	5.871718722
CCDC188	66.8801315	7.549352643
CCDC78	146.960289	28.51977665
CCL13	48.40009517	1.677633921
CCL7	94.16018514	11.74343744
CCND2	1526.794202	371.5959134
CCNO	114.4002249	30.19741057
CCR1	24.64004845	2.516450881
CCRL2	71.28014015	10.90462048
CD248	23380.22037	1562.707609
CD36	59.86651771	1.677633921
CD40	220.8804343	49.49020066
CD70	28.16005537	2.516450881
CD82	1784.98671	605.8355496
CDH4	441.6464684	4.194084802
CDHR1	24.64004845	0
CDK15	45.76008997	2.516450881
CDKN2A	3387.681061	1068.652807
CDKN2B	558.8186988	79.56178869
CDR1	551.7698849	69.62180771
CEBPB	3317.492123	873.124574
CELF6	20.81204092	0
