Gene.ID	GCCK1431_S72_5mM	GCCK1431_S74_20mM
AC009133.22	0.008907757	39.85031382
AC023908.1	0	15.35885868
AC026348.1	0	24.37967306
AC027682.1	0	104.203261
AC068533.7	4.721111016	37.32403867
AC084219.2	1.7459203	28.15790758
AC127070.1	76.44636744	214.4427547
AL358113.1	0	23.56366383
BDKRB2	23.16016725	100.6038778
BRCA2	10.68930796	44.71283458
CDR1	558.5252487	1466.558618
CMPK2	101.5484256	280.573037
CXCL14	0	14.53167124
CYSLTR1	139.1836974	348.2682686
DNM3	5.344653981	31.29898421
EREG	207.5507296	609.6259649
F2RL1	28.50482123	81.60092311
FSIP2	197.1019311	420.4347836
HSPE1-MOB4	31.31076457	97.7422564
IL1A	99.76687431	261.5700823
IL1B	1114.654311	2652.231209
IL1RN	692.1326905	1890.279795
ITGA2	749.1601485	1629.246267
MIPOL1	405.9531931	824.3481748
MT1G	18.07383821	90.01811422
ORC4	203.1681133	457.7029312
PARP15	282.5451327	614.879723
POC1B-GALNT4	5.166498848	43.39380596
PTGS2	245.8540831	980.3288982
RAB4B-EGLN2	4.311354211	76.29127401
RGPD8	80.25888728	189.2023595
RP11-468E2.1	0	68.67891392
SMIM11B	0.587911938	59.09918911
TAC1	48.10188583	145.3167124
TCEB3C	0	15.6494921
TMEM212	103.766457	237.0115579
UGT8	11.57117587	47.0602584
WDPCP	400.8668641	804.4509634
ZNF460	63.2450721	162.0840254
