Gene.ID	GCCK1431_S72_5mM	GCCK1431_S75_SMCS
ABCC3	24.13844746	101.7484973
ABCG1	29.03125708	132.5079152
AC084219.2	1.724803391	24.73671216
ACKR3	12.32002422	112.4014727
ACSS3	13.20002595	109.8850218
ACTA2	561.8899048	6666.799766
ACTBL2	0	73.81589251
ACTG2	31.68006229	481.4809352
ADAM19	59.84011766	1491.869517
ADAM28	8.800017303	44.4572989
ADAMTS1	5019.52987	15712.99611
ADAMTS15	71.28014015	228.1582132
ADAMTS6	145.2002855	512.5171627
ADGRF4	42.24008305	148.470602
ADGRF5	0	14.25988833
ADGRL4	215.6004239	735.6424742
AEBP1	150.4802959	736.3051396
AJUBA	173.3603409	531.8099528
AKAP12	1654.051252	6730.147223
ALDH1A1	29.92005883	518.3888815
ALDH1A3	2010.803954	9122.444806
ALOXE3	6.160012112	62.07245506
ALX1	7.040013842	76.33234339
AMIGO2	80.08015746	659.7463156
AMOT	22.88004499	90.59223171
AMTN	2.640005191	46.13493282
ANKRD1	554.3922901	3058.45246
ANLN	26.40005191	158.5364055
ANXA10	42.24008305	876.5637235
ANXA8	0.88000173	28.46944763
ANXA8L1	29.0400571	161.1031854
APOLD1	56.26731063	240.7991848
ARHGAP25	11.41362244	49.6160232
ARHGAP29	590.489961	2636.317825
ARHGEF3	73.04014361	223.9641284
ARHGEF37	58.96011593	192.0890839
ARSJ	736.948649	2508.448567
AS3MT	0	17.0531488
ASF1B	11.44002249	62.07245506
ASUN	124.115444	373.2735473
ATP1B1	97.68019206	428.5935259
BARD1	0	16.77633921
BCAM	17.89923519	75.6109608
BDKRB2	22.88004499	156.9510414
BGN	322.960635	7672.675512
BLM	4.435208721	31.31303713
BMP2	418.8808236	1571.104167
BMP4	22.00004326	119.1120084
BMP6	37.8400744	611.4723996
BOK	119.6802353	371.6043016
BPGM	225.280443	1479.673118
BRIP1	11.42242246	84.72890116
BRSK1	27.28005364	177.8291956
BST2	21.12004153	90.59223171
BUB1B	7.040013842	65.4277229
BZW2	241.1204741	760.806983
C21orf33	86.6625704	344.2169278
C2orf16	9.653618981	74.65470947
C5orf46	34.32006748	171.9574769
C6orf141	34.97126876	418.561275
C8orf4	8.800017303	82.20406211
CA8	4.400008651	40.26321409
CACNG6	0.88000173	23.48687489
CACNG8	194.4803824	628.8191343
CADM1	85.36016784	349.7866724
CALB2	570.2411212	1865.881223
CALD1	5248.41832	22775.4239
CARD11	142.5602803	467.2210469
CCDC144NL	0	15.43423207
CCDC190	7.920015573	56.20073634
CCDC81	13.16482589	70.46901284
CCK	44.88008824	182.8620973
CCL2	3608.825496	11748.53745
CCL20	88.88017476	356.4972081
CD200	29.14565731	611.5059522
CD274	10.56002076	83.04287907
CD93	4.400008651	66.26653986
CDC20	33.44006575	172.7962938
CDCP1	1078.00212	7354.629674
CDH2	982.081931	4381.719767
CDH5	17.60003461	151.8258698
CDH6	652.4420828	3911.160229
CDK1	0	20.13160705
CDK2	32.56006402	179.5068295
CEMIP	1087.673339	3760.65969
CENPJ	34.32006748	143.4377002
CFH	490.1609638	2460.023664
CH17-296N19.1	4.312008478	71.95371886
CHMP4C	1.760003461	36.90794625
CHSY1	169.8403339	635.8148677
CHURC1-FNTB	0	24.35924453
CKAP2L	5.280010382	67.94417379
CLCN4	77.44015226	403.4709579
CNN1	12.32002422	135.0495306
CNTNAP3	28.97845698	178.8441641
CNTNAP3B	50.28329887	335.5351723
COL17A1	16.72003288	74.65470947
COL4A1	1026.962019	5599.094822
COL4A5	443.5208721	1360.586274
CORO1A	1.760003461	21.80924097
COX20	211.6844162	630.932953
CPS1	15.87523121	119.1623374
CPT1C	103.250603	485.6414673
CRISPLD2	38.72007613	125.822544
CRLF1	106.3658091	508.8850853
CSF2	56.32011074	241.5792846
CSF2RB	670.5261184	5450.640996
CSF3	319.4406281	2034.131129
CSGALNACT1	30.80006056	978.8742282
CSRNP3	4.400008651	41.94084802
CTD-2192J16.17	0	17.23768853
CTD-2550O8.5	0	58.86817427
CTGF	4421.031893	25934.12337
CTPS1	462.8809101	2423.811936
CTPS2	57.20011247	197.1219857
CXCL6	2326.170174	12692.98663
CXCL8	4170.134599	24776.80761
CYP2S1	27.28005364	159.3752225
DAW1	26.40005191	211.6083546
DEPDC1	3.520006921	27.68095969
DEPTOR	205.9204049	604.7786402
DGKA	73.04894363	254.161539
DIXDC1	73.04014361	236.5463828
DLGAP5	1.760003461	27.68095969
DMBT1	2.640005191	35.23031233
DRP2	109.1202146	629.9515372
DSP	600.1611801	2446.829073
DTL	9.680019033	46.97374978
DUSP4	64.24012631	201.3160705
EDIL3	1072.722109	3267.619857
EDN1	54.56010728	1363.916377
EFNA5	90.64017822	355.650003
EHF	139.9202751	979.7214333
ELN	88.89777479	932.7644599
EMB	54.60410736	293.7956403
EMP2	74.13134576	449.3794101
ENC1	750.3334753	2519.529339
ENKUR	6.160012112	41.10203106
ENTPD3	2.640005191	94.78631652
EPHA3	2.640005191	37.74676321
EPHA5	166.3467271	957.0901517
EPHB4	134.6402647	603.9482114
EPPK1	7.040013842	59.63988588
ESAM	0.88000173	20.13160705
ESM1	83.60016438	3826.817184
ESPL1	23.81284682	85.55932995
ESPNL	18.48003634	69.62180771
ETV4	84.48016611	263.3885255
EZR	234.0716602	938.8291065
F2RL1	28.16005537	630.7903542
F3	466.400917	1470.446131
FAM107B	196.2403859	932.5295911
FAM167A	357.2807025	1733.792716
FAM180A	373.1207336	1098.850218
FAM216A	28.16005537	106.3200497
FAM43A	105.6002076	415.0214675
FAM84B	18.48003634	77.17116035
FBLN7	22.88004499	93.47776206
FDCSP	18.48003634	87.20341119
FERMT2	377.5119423	1284.908208
FHL1	19.36003807	105.690937
FMR1NB	0	18.45397313
FNBP1L	28.16005537	174.4739277
FOXC2	160.1603149	966.3087501
FRMD3	22.88004499	134.2107136
FRMD4A	543.5154687	1679.311555
FRMPD4	30.48325994	123.3060932
FSCN1	1414.171581	4997.822437
FZD6	249.9204914	790.1655766
GABBR2	16.72003288	141.7600663
GAD1	8.800017303	50.32901762
GALNT10	886.1793424	3131.337266
GALNT18	49.2800969	300.2964718
GATA4	37.8400744	316.233994
GBP1	43.9912865	579.2366638
GBP4	12.08242376	69.7056894
GBX2	9.680019033	124.9837271
GCKR	23.76004672	106.529754
GCOM1	4.92800969	43.08163908
GGT5	31.87366267	120.8148068
GIMAP8	1.760003461	49.49020066
GJA1	1855.184448	9089.093443
GLIPR1	853.3376779	3270.245354
GNA14	0.88000173	30.19741057
GNG2	44.00008651	154.359097
GPAM	95.9201886	515.8724306
GPM6B	4.400008651	93.12545893
GPR173	25.52005018	147.631785
GPR4	3.520006921	52.00665154
GPX7	33.44006575	119.9508253
GRAMD1C	2.640005191	42.77966498
GRB14	13.20002595	74.65470947
GSTT2B	62.48012285	226.4805793
GULP1	64.24012631	309.8673733
HAPLN1	22.88004499	635.8903613
HAS2	38.72007613	950.4215569
HAS3	18.48003634	623.3919886
HAUS4	17.79363499	74.02559675
HBEGF	200.6403945	1197.830619
HDAC1	402.1607907	1261.580708
HEPHL1	25.52005018	167.7633921
HHIP	66.8801315	5359.075737
HMCN1	469.920924	1963.670504
HNRNPA1	1731.966605	5542.223032
HPSE	10.56002076	89.75341475
HS3ST1	1.760003461	26.84214273
HSD17B2	2.640005191	39.42439713
IER3	1649.985644	5128.199757
IFITM1	15.08322966	82.12018041
IFT81	32.57766405	116.5955575
IGF2BP3	397.9455825	1731.938931
IGFBP3	4946.058525	44755.50671
IGFBP5	2215.844357	12001.92728
IKBIP	212.0100169	634.5650305
IL11	34.32006748	276.8179851
IL19	0	33.55267841
IL1A	98.56019379	385.8558017
IL1B	1101.172565	13103.2604
IL1RAPL1	2.640005191	27.68095969
IL24	5.280010382	117.216282
IL6	410.0808063	2405.727042
INHBA	1321.727399	7682.128979
IQGAP3	3.520006921	35.23031233
ISOC1	44.88008824	154.3423207
ITGA11	746.2414673	2334.419212
ITGA2	740.0990552	3485.645161
ITGAV	1474.108498	5195.682581
ITGB8	96.11378898	852.3806306
JPH2	8.800017303	72.97707555
JUP	314.1606177	1750.610996
KCNJ2	59.84011766	201.3160705
KCNK6	263.6837185	854.3602386
KCNN3	37.8400744	204.6797265
KCNN4	4.400008651	28.51977665
KCNQ5	19.36003807	89.75341475
KCTD16	14.96002941	158.56157
KCTD4	38.72007613	148.470602
KDELC1	29.0400571	166.9245751
KDELC2	66.44013064	225.6920913
KDR	24.64004845	686.1522735
KIAA1211	44.88008824	169.441026
KIF15	4.400008651	28.51977665
KIF20A	0	29.35859361
KIF23	80.96015919	263.3885255
KIF4A	1.760003461	45.29611586
KIFC1	8.932017562	67.10535682
KLF5	26.40005191	93.10868259
KRT81	3.616807111	36.83245273
LAMC2	306.2406021	982.2546605
LCP1	107.3602111	676.08647
LDAH	41.36008132	224.8029454
LDB2	2.640005191	61.2336381
LIMCH1	168.0803305	1131.564079
LIMS4	90.93937881	282.9749016
LIPG	339.0734667	1512.177275
LMO2	132.8802613	416.2964692
LMOD1	51.92010209	627.5776852
LNX2	52.77370376	178.5757427
LRP4	66.00012977	255.0003559
LRRC15	1287.460131	5413.405911
LTBP1	1312.08258	9217.79313
LURAP1	0	17.17058318
LYPD1	13.20002595	416.5481143
MAGED4	26.91045291	132.9357119
MAGED4B	41.72968205	313.3065228
MAMDC2	30.80006056	126.661361
MAOA	66.00012977	343.0761368
MAOB	0	12.5822544
MARCKSL1	329.1206471	1075.875021
MASP1	13.20002595	88.07578083
MCTP2	15.84003115	158.5364055
MECOM	118.8002336	442.895355
MEGF10	7.920015573	65.4277229
MEIS1	58.0801142	184.0699938
MEST	132.8802613	672.7312022
MGP	43.43688541	154.7197883
MICAL2	2676.270062	9556.255773
MICALCL	10.56002076	46.97374978
MKI67	0.88000173	145.9541511
MMP1	10183.62642	232274.8668
MMP10	9.680019033	217.4213561
