gene.id	FHC_cytoplasmic2_25mM	FHC_cytoplasmic_25mM	FHC_cytoplasmic2_5mM	FHC_cytoplasmic_5mM
ALKBH2	48.46024469	37.57794561	19.74610319	5.374075586
ARMC7	130.9940989	100.1143775	66.54166281	64.48890704
ARRDC1	157.7481924	157.3225932	114.1487061	80.6111338
CACFD1	178.1923581	134.0467015	73.84501605	75.23705821
CCDC102A	177.1827696	158.1638905	75.04060201	107.4815117
CDK7	327.856271	281.3606613	214.2316949	166.5963432
CDRT4	46.77423201	97.52598616	1.89346195	10.74815117
CRADD	66.88523356	44.86918879	25.96747817	10.74815117
CSAD	295.5570132	255.1935112	158.242025	198.8407967
CTD.2192J16.22	278.8685164	3.99896645	0	0
CTD.2545G14.7	200.5320261	0	0	0
DUS2	125.6937597	101.2361072	66.39830069	42.9926047
FKBP1B	47.19825915	34.21275645	18.1231358	5.374075586
HDAC11	112.7356921	90.57967487	62.21374978	42.9926047
KIAA0101	103.1824617	75.54288797	38.9485123	47.82927272
KLF2	77.23351497	55.80605356	21.63956514	32.24445352
NDUFA5	346.541229	293.1051714	196.3790537	225.7111747
PRRX2	324.0778863	260.2412949	161.4852548	182.71857
PSRC1	155.2065535	119.8988854	69.24660845	75.23705821
RGS19	139.8279977	105.4425937	65.45968456	53.74075586
RNF214	158.6694418	159.0612742	107.8191333	72.65750193
SLC25A28	215.0423358	168.259458	119.8317969	118.2296629
TEN1.CDK3	83.0083608	61.20718216	30.73629734	6.610112972
TUT1	124.0632743	118.6425482	80.66147906	51.80608865
