"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Metabolism of other amino acids","mmu00430","Taurine and hypotaurine metabolism","2/18","22/10563",0.0909090909090909,53.3484848484848,10.1545478873231,0.000620908185306924,0.025263256486846,0.0239664421512639,"209186/14262",2
"Organismal Systems","Digestive system","mmu04976","Bile secretion","3/18","101/10563",0.0297029702970297,17.4306930693069,6.85480735585314,0.00062378411078632,0.025263256486846,0.0239664421512639,"209186/20859/434264",3
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450","2/18","76/10563",0.0263157894736842,15.4429824561403,5.22064410358055,0.00725478330915901,0.195879149347293,0.185824274234599,"20859/434264",2
"Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts","2/18","90/10563",0.0222222222222222,13.0407407407407,4.7394173097085,0.0100523269287353,0.203559620306889,0.193110490999388,"20859/434264",2
"Metabolism","Lipid metabolism","mmu00120","Primary bile acid biosynthesis","1/18","18/10563",0.0555555555555556,32.6018518518518,5.54385082134749,0.0302568345157928,0.314350173065214,0.298213939360112,"209186",1
"Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum","2/18","177/10563",0.0112994350282486,6.63088512241055,3.1212257659001,0.0358291089228943,0.314350173065214,0.298213939360112,"15519/15505",2
"Cellular Processes","Cell growth and death","mmu04217","Necroptosis","2/18","177/10563",0.0112994350282486,6.63088512241055,3.1212257659001,0.0358291089228943,0.314350173065214,0.298213939360112,"12323/15519",2
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","2/18","181/10563",0.0110497237569061,6.48434622467772,3.07474908598164,0.0373219626796485,0.314350173065214,0.298213939360112,"12323/14159",2
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","2/18","217/10563",0.00921658986175115,5.40860215053763,2.71100663285499,0.0517985743728023,0.314350173065214,0.298213939360112,"12323/15519",2
"Metabolism","Lipid metabolism","mmu01040","Biosynthesis of unsaturated fatty acids","1/18","35/10563",0.0285714285714286,16.7666666666667,3.85999740006036,0.0580370942009412,0.314350173065214,0.298213939360112,"209186",1
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","2/18","253/10563",0.00790513833992095,4.63899868247694,2.42046534149431,0.0679759129719766,0.314350173065214,0.298213939360112,"15519/22146",2
"Genetic Information Processing","Replication and repair","mmu03440","Homologous recombination","1/18","42/10563",0.0238095238095238,13.9722222222222,3.480138730491,0.0692561080738128,0.314350173065214,0.298213939360112,"114714",1
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","2/18","274/10563",0.0072992700729927,4.28345498783455,2.2751278510624,0.0781057280062436,0.314350173065214,0.298213939360112,"12323/22146",2
"Genetic Information Processing","Replication and repair","mmu03460","Fanconi anemia pathway","1/18","52/10563",0.0192307692307692,11.2852564102564,3.07171429584103,0.0850645432211523,0.314350173065214,0.298213939360112,"114714",1
"Organismal Systems","Digestive system","mmu04978","Mineral absorption","1/18","55/10563",0.0181818181818182,10.669696969697,2.97043613298397,0.0897574021149967,0.314350173065214,0.298213939360112,"20531",1
"Environmental Information Processing","Signal transduction","mmu04370","VEGF signaling pathway","1/18","58/10563",0.0172413793103448,10.117816091954,2.87668850968301,0.0944275213067363,0.314350173065214,0.298213939360112,"15507",1
"Genetic Information Processing","Information processing in viruses","mmu03250","Viral life cycle - HIV-1","1/18","63/10563",0.0158730158730159,9.31481481481481,2.73472870023169,0.10216080217114,0.314350173065214,0.298213939360112,"269344",1
"Organismal Systems","Nervous system","mmu04720","Long-term potentiation","1/18","67/10563",0.0149253731343284,8.75870646766169,2.63209072069289,0.108302475806164,0.314350173065214,0.298213939360112,"12323",1
"Human Diseases","Substance dependence","mmu05031","Amphetamine addiction","1/18","69/10563",0.0144927536231884,8.5048309178744,2.58393134131319,0.111358412532244,0.314350173065214,0.298213939360112,"12323",1
"Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia","1/18","70/10563",0.0142857142857143,8.38333333333333,2.56057618234138,0.112882669114522,0.314350173065214,0.298213939360112,"235320",1
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00982","Drug metabolism - cytochrome P450","1/18","72/10563",0.0138888888888889,8.15046296296296,2.51523176010652,0.115923777574027,0.314350173065214,0.298213939360112,"14262",1
"Organismal Systems","Digestive system","mmu04971","Gastric acid secretion","1/18","75/10563",0.0133333333333333,7.82444444444444,2.45040368616767,0.12046698490847,0.314350173065214,0.298213939360112,"12323",1
"Human Diseases","Cancer: specific types","mmu05214","Glioma","1/18","75/10563",0.0133333333333333,7.82444444444444,2.45040368616767,0.12046698490847,0.314350173065214,0.298213939360112,"12323",1
"Environmental Information Processing","Signal transduction","mmu04012","ErbB signaling pathway","1/18","84/10563",0.0119047619047619,6.98611111111111,2.27567657295863,0.133964670940289,0.314350173065214,0.298213939360112,"12323",1
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","1/18","86/10563",0.0116279069767442,6.82364341085271,2.24032781258389,0.136937471790568,0.314350173065214,0.298213939360112,"22146",1
"Organismal Systems","Endocrine system","mmu04911","Insulin secretion","1/18","86/10563",0.0116279069767442,6.82364341085271,2.24032781258389,0.136937471790568,0.314350173065214,0.298213939360112,"12323",1
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome","1/18","87/10563",0.0114942528735632,6.74521072796935,2.22307383044138,0.138420255555746,0.314350173065214,0.298213939360112,"209186",1
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation","1/18","87/10563",0.0114942528735632,6.74521072796935,2.22307383044138,0.138420255555746,0.314350173065214,0.298213939360112,"15519",1
"Metabolism","Lipid metabolism","mmu00590","Arachidonic acid metabolism","1/18","89/10563",0.0112359550561798,6.5936329588015,2.189367798846,0.141378608169226,0.314350173065214,0.298213939360112,"19215",1
"Organismal Systems","Endocrine system","mmu04912","GnRH signaling pathway","1/18","90/10563",0.0111111111111111,6.52037037037037,2.17290110738866,0.142854184362939,0.314350173065214,0.298213939360112,"12323",1
"Organismal Systems","Sensory system","mmu04742","Taste transduction","1/18","92/10563",0.0108695652173913,6.3786231884058,2.14070584977365,0.145798154848406,0.314350173065214,0.298213939360112,"18441",1
"Organismal Systems","Endocrine system","mmu04914","Progesterone-mediated oocyte maturation","1/18","93/10563",0.010752688172043,6.31003584229391,2.12496425054447,0.147266556454053,0.314350173065214,0.298213939360112,"15519",1
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","1/18","94/10563",0.0106382978723404,6.24290780141844,2.10945171804773,0.148732573835507,0.314350173065214,0.298213939360112,"15519",1
"Organismal Systems","Environmental adaptation","mmu04713","Circadian entrainment","1/18","100/10563",0.01,5.86833333333333,2.02086934491371,0.15747881310733,0.314350173065214,0.298213939360112,"12323",1
"Organismal Systems","Endocrine system","mmu04916","Melanogenesis","1/18","100/10563",0.01,5.86833333333333,2.02086934491371,0.15747881310733,0.314350173065214,0.298213939360112,"12323",1
"Organismal Systems","Endocrine system","mmu04922","Glucagon signaling pathway","1/18","104/10563",0.00961538461538462,5.6426282051282,1.96571945411208,0.163262414389928,0.314350173065214,0.298213939360112,"12323",1
"Organismal Systems","Endocrine system","mmu04925","Aldosterone synthesis and secretion","1/18","104/10563",0.00961538461538462,5.6426282051282,1.96571945411208,0.163262414389928,0.314350173065214,0.298213939360112,"12323",1
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","1/18","105/10563",0.00952380952380952,5.58888888888889,1.95237804427204,0.164702444654866,0.314350173065214,0.298213939360112,"15519",1
"Human Diseases","Cancer: specific types","mmu05215","Prostate cancer","1/18","107/10563",0.00934579439252336,5.48442367601246,1.92620178266348,0.167575486243597,0.314350173065214,0.298213939360112,"15519",1
