"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Metabolism of other amino acids","mmu00430","Taurine and hypotaurine metabolism","2/18","22/10563",0.0909090909090909,53.3484848484848,10.1545478873231,0.000620908185306924,0.025263256486846,0.0239664421512639,"209186/14262",2
"Organismal Systems","Digestive system","mmu04976","Bile secretion","3/18","101/10563",0.0297029702970297,17.4306930693069,6.85480735585314,0.00062378411078632,0.025263256486846,0.0239664421512639,"209186/20859/434264",3
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450","2/18","76/10563",0.0263157894736842,15.4429824561403,5.22064410358055,0.00725478330915901,0.195879149347293,0.185824274234599,"20859/434264",2
"Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts","2/18","90/10563",0.0222222222222222,13.0407407407407,4.7394173097085,0.0100523269287353,0.203559620306889,0.193110490999388,"20859/434264",2
"Metabolism","Lipid metabolism","mmu00120","Primary bile acid biosynthesis","1/18","18/10563",0.0555555555555556,32.6018518518518,5.54385082134749,0.0302568345157928,0.314350173065214,0.298213939360112,"209186",1
"Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum","2/18","177/10563",0.0112994350282486,6.63088512241055,3.1212257659001,0.0358291089228943,0.314350173065214,0.298213939360112,"15519/15505",2
"Cellular Processes","Cell growth and death","mmu04217","Necroptosis","2/18","177/10563",0.0112994350282486,6.63088512241055,3.1212257659001,0.0358291089228943,0.314350173065214,0.298213939360112,"12323/15519",2
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","2/18","181/10563",0.0110497237569061,6.48434622467772,3.07474908598164,0.0373219626796485,0.314350173065214,0.298213939360112,"12323/14159",2
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","2/18","217/10563",0.00921658986175115,5.40860215053763,2.71100663285499,0.0517985743728023,0.314350173065214,0.298213939360112,"12323/15519",2
"Metabolism","Lipid metabolism","mmu01040","Biosynthesis of unsaturated fatty acids","1/18","35/10563",0.0285714285714286,16.7666666666667,3.85999740006036,0.0580370942009412,0.314350173065214,0.298213939360112,"209186",1
